dataset_key,scenario,k_true,data_seed,sampler,n_chains,k_model,warmup,posterior,r_total,burn_in,thin,seed,a_mu,a_delta,dirichlet_a,num_integration_steps
kt1_s01,1comp,1,1,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s02,1comp,1,2,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s03,1comp,1,3,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s04,1comp,1,4,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s05,1comp,1,5,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s06,1comp,1,6,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s07,1comp,1,7,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s08,1comp,1,8,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s09,1comp,1,9,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s10,1comp,1,10,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s11,1comp,1,11,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s12,1comp,1,12,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s13,1comp,1,13,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s14,1comp,1,14,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s15,1comp,1,15,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s16,1comp,1,16,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s17,1comp,1,17,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s18,1comp,1,18,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s19,1comp,1,19,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s20,1comp,1,20,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s21,1comp,1,21,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s22,1comp,1,22,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s23,1comp,1,23,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s24,1comp,1,24,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s25,1comp,1,25,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s26,1comp,1,26,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s27,1comp,1,27,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s28,1comp,1,28,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s29,1comp,1,29,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s30,1comp,1,30,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s31,1comp,1,31,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s32,1comp,1,32,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s33,1comp,1,33,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s34,1comp,1,34,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s35,1comp,1,35,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s36,1comp,1,36,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s37,1comp,1,37,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s38,1comp,1,38,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s39,1comp,1,39,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s40,1comp,1,40,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s41,1comp,1,41,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s42,1comp,1,42,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s43,1comp,1,43,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s44,1comp,1,44,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s45,1comp,1,45,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s46,1comp,1,46,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s47,1comp,1,47,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s48,1comp,1,48,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s49,1comp,1,49,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s50,1comp,1,50,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
