dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,grid,param,retained_mass_model,retained_mass_true,Hellinger,KL,JSD,TVD,Wasserstein1
kt1_s05,1comp,1,5,5,bayesm,2,chebyshev,Price,0.9944548513853784,1.0,0.06597,0.1574,0.00363,0.04219,0.09283
kt1_s06,1comp,1,6,5,bayesm,2,full,Alt1,1.0,1.0,0.10549,inf,0.00963,0.0831,0.29449
kt1_s06,1comp,1,6,5,bayesm,2,full,Alt2,1.0,1.0,0.08969,inf,0.0061,0.04505,0.23885
kt1_s06,1comp,1,6,5,bayesm,2,full,Alt3,1.0,1.0,0.16636,inf,0.02389,0.12769,0.41663
kt1_s06,1comp,1,6,5,bayesm,2,full,Price,1.0,1.0,0.10731,inf,0.00953,0.07624,0.27947
kt1_s06,1comp,1,6,5,bayesm,2,chebyshev,Alt1,0.994433138920544,1.0,0.09145,0.08167,0.00771,0.08526,0.18919
kt1_s06,1comp,1,6,5,bayesm,2,chebyshev,Alt2,0.993068387658942,1.0,0.06773,0.11085,0.00371,0.04233,0.1019
kt1_s06,1comp,1,6,5,bayesm,2,chebyshev,Alt3,0.9948594624353966,1.0,0.15864,0.4172,0.02215,0.12862,0.28868
kt1_s06,1comp,1,6,5,bayesm,2,chebyshev,Price,0.9938361375829584,1.0,0.09194,0.17548,0.00741,0.07747,0.16122
kt1_s07,1comp,1,7,5,bayesm,2,full,Alt1,0.9999999999999996,1.0,0.07995,inf,0.00493,0.04101,0.25397
kt1_s07,1comp,1,7,5,bayesm,2,full,Alt2,0.9999999999999996,1.0,0.08491,inf,0.00533,0.02301,0.22696
kt1_s07,1comp,1,7,5,bayesm,2,full,Alt3,0.9999999999999996,1.0,0.1407,inf,0.01764,0.12885,0.42626
kt1_s07,1comp,1,7,5,bayesm,2,full,Price,1.0,1.0,0.08354,inf,0.00539,0.04457,0.20588
kt1_s07,1comp,1,7,5,bayesm,2,chebyshev,Alt1,0.9946989924936952,1.0,0.06122,0.07726,0.00309,0.03725,0.13869
kt1_s07,1comp,1,7,5,bayesm,2,chebyshev,Alt2,0.9939600030634256,1.0,0.0648,0.13048,0.00324,0.02031,0.09806
kt1_s07,1comp,1,7,5,bayesm,2,chebyshev,Alt3,0.9932429582745,1.0,0.12832,0.16125,0.01534,0.12539,0.30304
kt1_s07,1comp,1,7,5,bayesm,2,chebyshev,Price,0.9944162303315808,1.0,0.06476,0.1026,0.00346,0.04375,0.08999
kt1_s08,1comp,1,8,5,bayesm,2,full,Alt1,1.0,1.0,0.15938,inf,0.02259,0.14211,0.48829
kt1_s08,1comp,1,8,5,bayesm,2,full,Alt2,0.9999999999999994,1.0,0.10877,inf,0.01014,0.09199,0.30876
kt1_s08,1comp,1,8,5,bayesm,2,full,Alt3,1.0,1.0,0.09807,inf,0.00771,0.06055,0.34973
kt1_s08,1comp,1,8,5,bayesm,2,full,Price,0.9999999999999998,1.0,0.11293,inf,0.01141,0.098,0.30771
kt1_s08,1comp,1,8,5,bayesm,2,chebyshev,Alt1,0.993821059080974,1.0,0.14959,0.32221,0.0205,0.13568,0.3185
kt1_s08,1comp,1,8,5,bayesm,2,chebyshev,Alt2,0.9933390654658664,1.0,0.09232,0.10552,0.00786,0.08729,0.18283
kt1_s08,1comp,1,8,5,bayesm,2,chebyshev,Alt3,0.9937638026133376,1.0,0.08071,0.15019,0.00556,0.05697,0.20169
kt1_s08,1comp,1,8,5,bayesm,2,chebyshev,Price,0.9948416284128488,1.0,0.10098,0.08033,0.00965,0.09672,0.20418
kt1_s09,1comp,1,9,5,bayesm,2,full,Alt1,0.9999999999999998,1.0,0.12646,inf,0.01432,0.1103,0.40404
kt1_s09,1comp,1,9,5,bayesm,2,full,Alt2,0.9999999999999998,1.0,0.14216,inf,0.01839,0.14516,0.47708
kt1_s09,1comp,1,9,5,bayesm,2,full,Alt3,0.9999999999999996,1.0,0.14768,inf,0.0201,0.15679,0.46443
kt1_s09,1comp,1,9,5,bayesm,2,full,Price,0.9999999999999998,1.0,0.08291,inf,0.00551,0.05706,0.28926
kt1_s09,1comp,1,9,5,bayesm,2,chebyshev,Alt1,0.994308905984595,1.0,0.1148,0.1942,0.01237,0.11769,0.27929
kt1_s09,1comp,1,9,5,bayesm,2,chebyshev,Alt2,0.994315368660578,1.0,0.13196,0.21253,0.01645,0.13643,0.34633
kt1_s09,1comp,1,9,5,bayesm,2,chebyshev,Alt3,0.9942195956398376,1.0,0.13772,0.19535,0.01814,0.14801,0.33249
kt1_s09,1comp,1,9,5,bayesm,2,chebyshev,Price,0.9947287442846772,1.0,0.06517,0.0723,0.00369,0.05346,0.17174
kt1_s100,1comp,1,100,5,bayesm,2,full,Alt1,1.0,1.0,0.16699,inf,0.02492,0.15271,0.53635
kt1_s100,1comp,1,100,5,bayesm,2,full,Alt2,0.9999999999999996,1.0,0.10833,inf,0.00985,0.0854,0.30838
kt1_s100,1comp,1,100,5,bayesm,2,full,Alt3,0.9999999999999994,1.0,0.10955,inf,0.0101,0.0904,0.32222
kt1_s100,1comp,1,100,5,bayesm,2,full,Price,0.9999999999999996,1.0,0.11758,1.53466,0.01121,0.08276,0.32051
kt1_s100,1comp,1,100,5,bayesm,2,chebyshev,Alt1,0.9936506173525708,1.0,0.15743,0.32157,0.02277,0.14982,0.39506
