dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,runtime_s,n_sampling_errors,invariant_rhat_max,invariant_ess_min,n_divergent,max_treedepth,max_leapfrog,mean_acceptance
kt1_s52,1comp,1,52,5,bayesm,2,214.8,0,1.0444802798931443,44.541246260682975,,,,
kt1_s53,1comp,1,53,5,bayesm,2,211.1,0,1.5589984839536295,3.5369468989707284,,,,
kt1_s54,1comp,1,54,5,bayesm,2,217.9,0,1.5984536576307553,3.364983037670585,,,,
kt1_s55,1comp,1,55,5,bayesm,2,218.0,0,1.830118081623924,2.9781321141934898,,,,
kt1_s56,1comp,1,56,5,bayesm,2,215.4,0,1.0215016274203594,75.93707623392619,,,,
kt1_s57,1comp,1,57,5,bayesm,2,220.3,0,1.0037298862765052,345.4457822776512,,,,
kt1_s58,1comp,1,58,5,bayesm,2,215.7,0,1.0612676344070746,23.451338041224997,,,,
kt1_s59,1comp,1,59,5,bayesm,2,213.7,0,1.2195634906309103,6.571139456719427,,,,
kt1_s60,1comp,1,60,5,bayesm,2,215.2,0,1.0547715109638152,22.855211961587266,,,,
kt1_s61,1comp,1,61,5,bayesm,2,223.7,0,1.059873181763877,30.319782692959365,,,,
kt1_s62,1comp,1,62,5,bayesm,2,222.8,0,1.1467209509172585,10.238149363852578,,,,
kt1_s63,1comp,1,63,5,bayesm,2,226.0,0,1.158869333699836,9.364721326131468,,,,
kt1_s64,1comp,1,64,5,bayesm,2,220.6,0,1.2586401096808544,6.931917006839526,,,,
kt1_s65,1comp,1,65,5,bayesm,2,219.7,0,1.240684216193343,6.128497178831846,,,,
kt1_s66,1comp,1,66,5,bayesm,2,220.4,0,1.0800982864710011,17.905354986810725,,,,
kt1_s67,1comp,1,67,5,bayesm,2,226.0,0,1.016552973933669,94.93143296170872,,,,
kt1_s68,1comp,1,68,5,bayesm,2,228.2,0,1.1553293108578997,9.426117931228942,,,,
kt1_s69,1comp,1,69,5,bayesm,2,224.6,0,1.3125764174172936,4.983257359743028,,,,
kt1_s71,1comp,1,71,5,bayesm,2,221.0,0,1.0554405950790129,22.91618235510832,,,,
kt1_s72,1comp,1,72,5,bayesm,2,217.6,0,1.2485046842825016,6.158396889810613,,,,
kt1_s73,1comp,1,73,5,bayesm,2,214.9,0,1.0033406576748185,419.50291147092855,,,,
kt1_s74,1comp,1,74,5,bayesm,2,223.4,0,1.047871225586852,35.20710511426314,,,,
kt1_s75,1comp,1,75,5,bayesm,2,221.1,0,1.1908120476068764,9.946813925484784,,,,
kt1_s76,1comp,1,76,5,bayesm,2,221.6,0,1.071887785321181,17.36588863875279,,,,
kt1_s77,1comp,1,77,5,bayesm,2,227.7,0,1.3632847569961892,4.506027472086232,,,,
kt1_s78,1comp,1,78,5,bayesm,2,225.3,0,1.1598239267139878,8.682615676460898,,,,
kt1_s79,1comp,1,79,5,bayesm,2,219.8,0,1.163900814427504,9.256671219112263,,,,
kt1_s80,1comp,1,80,5,bayesm,2,219.1,0,1.1207778107317172,14.863155638518348,,,,
kt1_s81,1comp,1,81,5,bayesm,2,221.3,0,1.0176482820786292,88.03524956656052,,,,
kt1_s82,1comp,1,82,5,bayesm,2,220.0,0,1.2710263614169466,5.661446652793763,,,,
kt1_s83,1comp,1,83,5,bayesm,2,222.5,0,1.2128628350533917,8.241569603988818,,,,
kt1_s84,1comp,1,84,5,bayesm,2,224.2,0,1.0696753134268993,18.896201499098837,,,,
kt1_s85,1comp,1,85,5,bayesm,2,225.6,0,1.0073990834557516,240.402002769898,,,,
kt1_s86,1comp,1,86,5,bayesm,2,230.5,0,1.0340825742424418,67.84839936849643,,,,
kt1_s87,1comp,1,87,5,bayesm,2,217.3,0,1.1143796624053697,12.882559416518166,,,,
