dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,scope,quantity,live,rhat,ess
kt1_s03,1comp,1,3,5,bayesm,2,component,slot3:pvec,True,1.8872436586605152,2.821872344038789
kt1_s03,1comp,1,3,5,bayesm,2,component,slot1:pvec,False,1.7200049130400112,3.090439491273761
kt1_s03,1comp,1,3,5,bayesm,2,component,slot4:pvec,False,1.0934469984730668,15.39007479820082
kt1_s03,1comp,1,3,5,bayesm,2,component,slot2:pvec,False,1.0147113674863657,78.66069344114501
kt1_s03,1comp,1,3,5,bayesm,2,component,slot0:pvec,False,1.03820396125409,45.39737658568185
kt1_s03,1comp,1,3,5,bayesm,2,component_after,slot0:pvec,True,1.0584762829524106,41.677779268804834
kt1_s03,1comp,1,3,5,bayesm,2,component_after,slot1:pvec,False,1.0668604938207986,31.33775038531841
kt1_s03,1comp,1,3,5,bayesm,2,component_after,slot2:pvec,False,1.117755906460843,12.134830089274269
kt1_s03,1comp,1,3,5,bayesm,2,component_after,slot3:pvec,False,1.0246186164098412,81.32574622708812
kt1_s03,1comp,1,3,5,bayesm,2,component_after,slot4:pvec,False,1.0012602822389616,7156.89394935946
kt1_s04,1comp,1,4,5,bayesm,2,invariant,E[u]_0,,1.001117826816223,560.1313646252738
kt1_s04,1comp,1,4,5,bayesm,2,invariant,E[u]_1,,1.0004679100057483,3768.604856581424
kt1_s04,1comp,1,4,5,bayesm,2,invariant,E[u]_2,,1.003477110672109,1267.348961729918
kt1_s04,1comp,1,4,5,bayesm,2,invariant,E[u]_3,,1.004956889063178,454.1627821604846
kt1_s04,1comp,1,4,5,bayesm,2,invariant,pvec_sorted_0,,1.0069689585436286,1919.649261596693
kt1_s04,1comp,1,4,5,bayesm,2,invariant,pvec_sorted_1,,1.0154298052501394,141.75861405710975
kt1_s04,1comp,1,4,5,bayesm,2,invariant,pvec_sorted_2,,1.0241256392322635,101.05289662051136
kt1_s04,1comp,1,4,5,bayesm,2,invariant,pvec_sorted_3,,1.0330601997646829,85.18110098251394
kt1_s04,1comp,1,4,5,bayesm,2,invariant,pvec_sorted_4,,1.039070178616032,61.54363975720821
kt1_s04,1comp,1,4,5,bayesm,2,invariant,tr(Cov[u]),,1.0021610585182146,382.7706503858471
kt1_s04,1comp,1,4,5,bayesm,2,component,slot4:pvec,True,1.8100444585065885,2.91573544515154
kt1_s04,1comp,1,4,5,bayesm,2,component,slot2:pvec,False,1.842147130120987,2.935428009113302
kt1_s04,1comp,1,4,5,bayesm,2,component,slot0:pvec,False,1.0171544890324498,264.66504808353653
kt1_s04,1comp,1,4,5,bayesm,2,component,slot1:pvec,False,1.0388902983783357,33.65749540125877
kt1_s04,1comp,1,4,5,bayesm,2,component,slot3:pvec,False,1.0076525952478588,280.76492675791656
kt1_s04,1comp,1,4,5,bayesm,2,component_after,slot0:pvec,True,1.039070178616032,61.643400005523695
kt1_s04,1comp,1,4,5,bayesm,2,component_after,slot1:pvec,False,1.0242468565604568,209.3244193687856
kt1_s04,1comp,1,4,5,bayesm,2,component_after,slot2:pvec,False,1.0286070025906433,117.3206454740344
kt1_s04,1comp,1,4,5,bayesm,2,component_after,slot3:pvec,False,0.9999771250321748,18731.98542125678
kt1_s04,1comp,1,4,5,bayesm,2,component_after,slot4:pvec,False,1.000007957954935,17566.398045781898
kt1_s05,1comp,1,5,5,bayesm,2,invariant,E[u]_0,,1.005491954514938,261.2231309782893
kt1_s05,1comp,1,5,5,bayesm,2,invariant,E[u]_1,,1.000394216208611,12375.513986579486
kt1_s05,1comp,1,5,5,bayesm,2,invariant,E[u]_2,,1.0065792104841391,587.2376094173819
kt1_s05,1comp,1,5,5,bayesm,2,invariant,E[u]_3,,1.0003542438119597,3084.132377512765
