dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,quantity,rhat,ess
std_s54,standard,1,54,1,hmc,2,"Sigma:Alt3,Alt1",1.006784805166538,472.7197385013788
std_s54,standard,1,54,1,hmc,2,"Sigma:Alt3,Alt2",1.0018569022536048,578.9016971528447
std_s54,standard,1,54,1,hmc,2,"Sigma:Alt3,Alt3",1.0036783080034877,458.2890655702112
std_s54,standard,1,54,1,hmc,2,"Sigma:Price,Alt1",1.0023590947551433,394.2563703974009
std_s54,standard,1,54,1,hmc,2,"Sigma:Price,Alt2",1.0006158746944835,824.590665709523
std_s54,standard,1,54,1,hmc,2,"Sigma:Price,Alt3",1.0002274085214355,962.7519186057144
std_s54,standard,1,54,1,hmc,2,"Sigma:Price,Price",1.0002984218201696,3447.339477505506
std_s54,standard,1,54,1,hmc,2,tr(Sigma),1.001570313764909,624.8552548246287
std_s54,standard,1,54,1,hmc,2,Delta:z1:Alt1,1.0021563362245378,2010.4664085324084
std_s54,standard,1,54,1,hmc,2,Delta:z1:Alt2,1.0007945133917806,1148.2950805418711
std_s54,standard,1,54,1,hmc,2,Delta:z1:Alt3,1.0049953924042347,944.6088009849666
std_s54,standard,1,54,1,hmc,2,Delta:z1:Price,1.0013299687544643,1671.2366420893418
std_s54,standard,1,54,1,hmc,2,Delta:z2:Alt1,1.000568471219442,2515.855482959206
std_s54,standard,1,54,1,hmc,2,Delta:z2:Alt2,1.001072448627604,1387.149254044235
std_s54,standard,1,54,1,hmc,2,Delta:z2:Alt3,1.0040185487733009,1174.20900195872
std_s54,standard,1,54,1,hmc,2,Delta:z2:Price,1.0008335167514986,1685.2142372867236
std_s54,standard,1,54,1,hmc,2,beta[unit0]:Alt1,1.0001500328682371,9113.04136262306
std_s54,standard,1,54,1,hmc,2,beta[unit0]:Alt2,1.0001035522885522,10547.957400736892
std_s54,standard,1,54,1,hmc,2,beta[unit0]:Alt3,1.0001301317804343,11424.530353057202
std_s54,standard,1,54,1,hmc,2,beta[unit0]:Price,0.9999622777124392,12813.759953309158
std_s54,standard,1,54,1,hmc,2,beta[unit299]:Alt1,1.0000066110752412,12234.129838824843
std_s54,standard,1,54,1,hmc,2,beta[unit299]:Alt2,1.0001601228035433,8644.341795312024
std_s54,standard,1,54,1,hmc,2,beta[unit299]:Alt3,1.0003090556995158,9526.128507463482
std_s54,standard,1,54,1,hmc,2,beta[unit299]:Price,1.000107380138408,12468.60472461998
std_s55,standard,1,55,1,hmc,2,mu:Alt1,1.0002856459422629,1389.875554057741
std_s55,standard,1,55,1,hmc,2,mu:Alt2,1.0004628853483566,1926.6398846438624
std_s55,standard,1,55,1,hmc,2,mu:Alt3,1.00124779398898,1737.6202347866824
std_s55,standard,1,55,1,hmc,2,mu:Price,1.0007822321634854,1724.673399516423
std_s55,standard,1,55,1,hmc,2,"Sigma:Alt1,Alt1",1.0122505137053175,202.5078359680788
std_s55,standard,1,55,1,hmc,2,"Sigma:Alt2,Alt1",1.0137624563233012,644.8811605788752
std_s55,standard,1,55,1,hmc,2,"Sigma:Alt2,Alt2",1.0020463331575935,1399.6506480578053
std_s55,standard,1,55,1,hmc,2,"Sigma:Alt3,Alt1",1.0027552569293348,886.1080947206221
std_s55,standard,1,55,1,hmc,2,"Sigma:Alt3,Alt2",1.0011367345233473,1657.8605988370784
std_s55,standard,1,55,1,hmc,2,"Sigma:Alt3,Alt3",1.0031428717435122,522.4656487410874
std_s55,standard,1,55,1,hmc,2,"Sigma:Price,Alt1",1.008509544113069,669.8658520305302
std_s55,standard,1,55,1,hmc,2,"Sigma:Price,Alt2",1.0005008638004114,1387.5226992397506
std_s55,standard,1,55,1,hmc,2,"Sigma:Price,Alt3",1.0010021405128733,906.5914651752486
std_s55,standard,1,55,1,hmc,2,"Sigma:Price,Price",1.00605774276184,512.5162827963385
std_s55,standard,1,55,1,hmc,2,tr(Sigma),1.0064318723796386,382.8668297221653
std_s55,standard,1,55,1,hmc,2,Delta:z1:Alt1,1.0020768294796123,1176.3763165638916
std_s55,standard,1,55,1,hmc,2,Delta:z1:Alt2,1.0020975332839768,1290.4804968085618
std_s55,standard,1,55,1,hmc,2,Delta:z1:Alt3,1.001345097980219,1325.2445323592528
std_s55,standard,1,55,1,hmc,2,Delta:z1:Price,1.000488440325041,1787.7850817837868
std_s55,standard,1,55,1,hmc,2,Delta:z2:Alt1,1.0018775624433542,1093.437530969475
std_s55,standard,1,55,1,hmc,2,Delta:z2:Alt2,1.002582122547473,1045.6415330360123
std_s55,standard,1,55,1,hmc,2,Delta:z2:Alt3,1.0027038378252775,1199.236600965873
std_s55,standard,1,55,1,hmc,2,Delta:z2:Price,1.0007551925798464,1307.3355562051809
std_s55,standard,1,55,1,hmc,2,beta[unit0]:Alt1,1.0003531422338603,8520.75410000577
std_s55,standard,1,55,1,hmc,2,beta[unit0]:Alt2,1.000372681456804,8743.965868806783
std_s55,standard,1,55,1,hmc,2,beta[unit0]:Alt3,1.000068674995146,8324.700316732886
std_s55,standard,1,55,1,hmc,2,beta[unit0]:Price,0.9999618761156472,21067.407197131623
std_s55,standard,1,55,1,hmc,2,beta[unit299]:Alt1,1.0001385928851705,10479.378763624123
std_s55,standard,1,55,1,hmc,2,beta[unit299]:Alt2,1.000082674297938,12658.4416142574
std_s55,standard,1,55,1,hmc,2,beta[unit299]:Alt3,1.0002930123370093,9804.451295759489
std_s55,standard,1,55,1,hmc,2,beta[unit299]:Price,1.0000521491070151,17646.929672417424
std_s56,standard,1,56,1,hmc,2,mu:Alt1,1.000632046502426,1337.295408396316
std_s56,standard,1,56,1,hmc,2,mu:Alt2,1.000187970813588,2380.4881603644294
std_s56,standard,1,56,1,hmc,2,mu:Alt3,1.0021004864483831,740.1472161843556
std_s56,standard,1,56,1,hmc,2,mu:Price,1.0000805082715902,13575.243025802594
std_s56,standard,1,56,1,hmc,2,"Sigma:Alt1,Alt1",1.002245119360604,689.4157875572472
std_s56,standard,1,56,1,hmc,2,"Sigma:Alt2,Alt1",1.000799858343855,915.7095346240972
std_s56,standard,1,56,1,hmc,2,"Sigma:Alt2,Alt2",1.000086247292147,1688.4602530611191
std_s56,standard,1,56,1,hmc,2,"Sigma:Alt3,Alt1",1.0050204961118412,904.0648339476628
std_s56,standard,1,56,1,hmc,2,"Sigma:Alt3,Alt2",1.0012877237886462,706.7864162331103
std_s56,standard,1,56,1,hmc,2,"Sigma:Alt3,Alt3",1.0016056411424794,493.04957961774505
std_s56,standard,1,56,1,hmc,2,"Sigma:Price,Alt1",1.0012963479430657,3146.4144385830164
std_s56,standard,1,56,1,hmc,2,"Sigma:Price,Alt2",1.000431863503983,4656.503101694442
std_s56,standard,1,56,1,hmc,2,"Sigma:Price,Alt3",1.0002815021339504,2857.3514197878344
std_s56,standard,1,56,1,hmc,2,"Sigma:Price,Price",0.999971261173546,13478.910950128226
std_s56,standard,1,56,1,hmc,2,tr(Sigma),1.0007623057503063,1018.6009196305448
std_s56,standard,1,56,1,hmc,2,Delta:z1:Alt1,1.0020457151106967,1536.4609093391318
std_s56,standard,1,56,1,hmc,2,Delta:z1:Alt2,1.0004792017197224,2257.105288324065
std_s56,standard,1,56,1,hmc,2,Delta:z1:Alt3,1.0016564609600584,1057.4363784755608
std_s56,standard,1,56,1,hmc,2,Delta:z1:Price,1.001396844462893,7233.798169074481
std_s56,standard,1,56,1,hmc,2,Delta:z2:Alt1,1.0012092159765793,1363.0393714356103
std_s56,standard,1,56,1,hmc,2,Delta:z2:Alt2,1.0019537043642026,2143.402396020495
std_s56,standard,1,56,1,hmc,2,Delta:z2:Alt3,1.001168944484823,1309.0286022225364
std_s56,standard,1,56,1,hmc,2,Delta:z2:Price,1.0004172698514069,5178.866525571232
std_s56,standard,1,56,1,hmc,2,beta[unit0]:Alt1,1.0000022085563631,9887.372291548643
std_s56,standard,1,56,1,hmc,2,beta[unit0]:Alt2,1.00005302830486,11157.495136720056
std_s56,standard,1,56,1,hmc,2,beta[unit0]:Alt3,1.0001439571617303,11793.686663755652
std_s56,standard,1,56,1,hmc,2,beta[unit0]:Price,0.99997201764244,16188.17072893745
std_s56,standard,1,56,1,hmc,2,beta[unit299]:Alt1,1.0003902166264542,10124.607693348857
std_s56,standard,1,56,1,hmc,2,beta[unit299]:Alt2,1.0002134489928534,9878.645910288797
std_s56,standard,1,56,1,hmc,2,beta[unit299]:Alt3,1.0002210301747136,7969.44252386388
std_s56,standard,1,56,1,hmc,2,beta[unit299]:Price,0.9999610039406552,13559.257095583433
std_s57,standard,1,57,1,hmc,2,mu:Alt1,1.0012113179062232,1113.453635231815
std_s57,standard,1,57,1,hmc,2,mu:Alt2,1.0003176197737107,2194.320212316311
std_s57,standard,1,57,1,hmc,2,mu:Alt3,1.001545880558145,1134.485683520129
std_s57,standard,1,57,1,hmc,2,mu:Price,1.0002549230952618,2617.1644717703903
std_s57,standard,1,57,1,hmc,2,"Sigma:Alt1,Alt1",1.0039154847264973,481.60138540662086
std_s57,standard,1,57,1,hmc,2,"Sigma:Alt2,Alt1",1.0002854774796142,1181.561601949736
std_s57,standard,1,57,1,hmc,2,"Sigma:Alt2,Alt2",1.0008766920800292,956.2651000759898
std_s57,standard,1,57,1,hmc,2,"Sigma:Alt3,Alt1",1.00157461893696,1157.831145527032
std_s57,standard,1,57,1,hmc,2,"Sigma:Alt3,Alt2",1.0023878967011255,584.8612350466702
std_s57,standard,1,57,1,hmc,2,"Sigma:Alt3,Alt3",1.0024567283927055,328.829734459386
std_s57,standard,1,57,1,hmc,2,"Sigma:Price,Alt1",1.0079650668178295,593.4408721674852
std_s57,standard,1,57,1,hmc,2,"Sigma:Price,Alt2",1.00109937394464,1345.6788469317487
std_s57,standard,1,57,1,hmc,2,"Sigma:Price,Alt3",1.0011602785784846,377.5487057352297
std_s57,standard,1,57,1,hmc,2,"Sigma:Price,Price",1.000451553150859,4153.47922124891
std_s57,standard,1,57,1,hmc,2,tr(Sigma),1.0007584770437576,1334.0815344023035
std_s57,standard,1,57,1,hmc,2,Delta:z1:Alt1,1.0004423197485957,1139.7571731942614
std_s57,standard,1,57,1,hmc,2,Delta:z1:Alt2,1.0014947117858466,1330.5250504386645
std_s57,standard,1,57,1,hmc,2,Delta:z1:Alt3,1.0010267864060551,1512.5582752814555
