dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,grid,param,retained_mass_model,retained_mass_true,Hellinger,KL,JSD,TVD,Wasserstein1
std_s05,standard,1,5,1,bayesm,2,chebyshev,Alt3,0.9999994603512256,0.9999994266968562,0.03603,0.00502,0.0013,0.03744,0.09483
std_s05,standard,1,5,1,bayesm,2,chebyshev,Price,0.9999989235933734,0.9999995482238432,0.02652,0.00283,0.0007,0.02993,0.08393
std_s06,standard,1,6,1,bayesm,2,full,Alt1,0.9999999999986326,0.9999999999988782,0.06917,0.01791,0.00475,0.07092,0.13637
std_s06,standard,1,6,1,bayesm,2,full,Alt2,0.9999999999994136,0.999999999999994,0.02161,0.00183,0.00047,0.02194,0.0388
std_s06,standard,1,6,1,bayesm,2,full,Alt3,0.999999999996971,0.9999999999266534,0.06697,0.01665,0.00445,0.06646,0.13443
std_s06,standard,1,6,1,bayesm,2,full,Price,0.9999999999969832,0.9999999999894272,0.05858,0.01294,0.00341,0.05964,0.08546
std_s06,standard,1,6,1,bayesm,2,chebyshev,Alt1,0.9999997684629848,0.9999994266968562,0.06917,0.01791,0.00475,0.07092,0.13637
std_s06,standard,1,6,1,bayesm,2,chebyshev,Alt2,0.999999024757306,0.9999994266968562,0.02161,0.00183,0.00047,0.02194,0.0388
std_s06,standard,1,6,1,bayesm,2,chebyshev,Alt3,0.9999999584532256,0.9999994266968562,0.06697,0.01665,0.00445,0.06646,0.13443
std_s06,standard,1,6,1,bayesm,2,chebyshev,Price,0.9999998084682694,0.9999994266968562,0.05858,0.01294,0.00341,0.05964,0.08546
std_s07,standard,1,7,1,bayesm,2,full,Alt1,0.9999999999994732,0.9999999999993764,0.03822,0.00561,0.00146,0.03852,0.08117
std_s07,standard,1,7,1,bayesm,2,full,Alt2,0.9999999999986768,0.9999999999999972,0.04545,0.0085,0.00206,0.04992,0.13092
std_s07,standard,1,7,1,bayesm,2,full,Alt3,0.999999999997708,0.9999999999996954,0.03356,0.00435,0.00112,0.03401,0.07334
std_s07,standard,1,7,1,bayesm,2,full,Price,0.9999999999963984,0.9999999999999036,0.00794,0.00025,6e-05,0.00836,0.01838
std_s07,standard,1,7,1,bayesm,2,chebyshev,Alt1,0.9999998048866277,0.9999994266968562,0.03822,0.00561,0.00146,0.03852,0.08117
std_s07,standard,1,7,1,bayesm,2,chebyshev,Alt2,0.999998356637636,0.9999996649107088,0.04545,0.0085,0.00206,0.04992,0.13092
std_s07,standard,1,7,1,bayesm,2,chebyshev,Alt3,0.9999994408071824,0.9999994266968562,0.03356,0.00435,0.00112,0.03402,0.07334
std_s07,standard,1,7,1,bayesm,2,chebyshev,Price,0.9999987526260252,0.9999994414270892,0.00793,0.00025,6e-05,0.00835,0.01838
