dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,functional,Rhat,ESS_bulk,ESS_tail,ESS_bulk/s,ESS_tail/s
std_s01,standard,1,1,1,bayesm,2,Alt1,mean,1.0003167947562837,3200.5487449336174,8262.34637413053,15.56687132749814,40.186509601802186
std_s01,standard,1,1,1,bayesm,2,Alt1,sd,1.0006658597474631,2237.5032136951354,4758.998388451744,10.882797731980231,23.14687932126335
std_s01,standard,1,1,1,bayesm,2,Alt1,q05,1.000718301288777,2055.6330513863904,4489.196473193096,9.998215230478554,21.834613196464478
std_s01,standard,1,1,1,bayesm,2,Alt1,q50,1.0003167947562837,3200.5487449336174,8262.34637413053,15.56687132749814,40.186509601802186
std_s01,standard,1,1,1,bayesm,2,Alt1,q95,1.0003018101821048,3605.0413210484303,9190.34626356034,17.534247670469018,44.70012774105224
std_s01,standard,1,1,1,bayesm,2,Alt2,mean,1.0000909177426436,9474.238430409345,14415.10277821859,46.08092621794429,70.11236759833945
std_s01,standard,1,1,1,bayesm,2,Alt2,sd,1.000430298742682,4393.164484047478,9911.3511510247,21.367531537195905,48.206960851287455
std_s01,standard,1,1,1,bayesm,2,Alt2,q05,1.0001721954294984,5960.979177760123,12379.414246228618,28.993089385992818,60.21115878515865
std_s01,standard,1,1,1,bayesm,2,Alt2,q50,1.0000909177426436,9474.238430409345,14415.10277821859,46.08092621794429,70.11236759833945
std_s01,standard,1,1,1,bayesm,2,Alt2,q95,1.0004114086502731,4820.645337701172,9926.254426888952,23.446718568585467,48.27944760159996
std_s01,standard,1,1,1,bayesm,2,Alt3,mean,1.000187334153347,4848.390526936751,9887.88336391382,23.581665987046453,48.09281791786878
std_s01,standard,1,1,1,bayesm,2,Alt3,sd,1.0005082681447233,2716.1664270581987,5438.756089443624,13.210926201644936,26.453093820251087
std_s01,standard,1,1,1,bayesm,2,Alt3,q05,1.0007889489705035,2843.4102882625143,6133.414934813765,13.829816577152307,29.83178470240158
std_s01,standard,1,1,1,bayesm,2,Alt3,q50,1.0001868735957438,4848.390526936751,9887.88336391382,23.581665987046453,48.09281791786878
std_s01,standard,1,1,1,bayesm,2,Alt3,q95,1.0000830224008932,4141.970832231815,9435.367860859513,20.145772530310385,45.891867027526814
std_s01,standard,1,1,1,bayesm,2,Price,mean,1.000299704149931,12761.652182047115,18006.60645308973,62.07029271423696,87.5807706862341
std_s01,standard,1,1,1,bayesm,2,Price,sd,1.0000664118362326,6788.395548457657,12814.342876171551,33.01748807615592,62.32657040939471
std_s01,standard,1,1,1,bayesm,2,Price,q05,1.0000401828483076,7553.567416216019,14091.428051650231,36.73914112945535,68.53807418117817
std_s01,standard,1,1,1,bayesm,2,Price,q50,1.0002998916109271,12761.652182047115,18006.60645308973,62.07029271423696,87.5807706862341
std_s01,standard,1,1,1,bayesm,2,Price,q95,0.999990692639354,9048.423523948666,15487.658776431,44.00984204255188,75.32907965190175
std_s02,standard,1,2,1,bayesm,2,Alt1,mean,0.9999771309900628,7703.162805540236,13747.371362279857,37.8533798798046,67.55465042889364
std_s02,standard,1,2,1,bayesm,2,Alt1,sd,1.0010588339099231,3382.0709343067547,7977.273934191395,16.619513190696583,39.20036331297983
std_s02,standard,1,2,1,bayesm,2,Alt1,q05,1.000614058119622,4706.213148946982,10006.676397492323,23.12635454028001,49.17285699013428
std_s02,standard,1,2,1,bayesm,2,Alt1,q50,0.9999771309900628,7703.162805540236,13747.371362279857,37.8533798798046,67.55465042889364
std_s02,standard,1,2,1,bayesm,2,Alt1,q95,1.0008065130623154,3716.384439011348,7982.685185095359,18.26233139563316,39.22695422651282
std_s02,standard,1,2,1,bayesm,2,Alt2,mean,1.0009159188654322,4590.822622710951,9615.153036555064,22.55932492732654,47.24890927054086
std_s02,standard,1,2,1,bayesm,2,Alt2,sd,1.0005499165568934,2012.9866825951124,4093.917550650205,9.891826450098833,20.11753096142607
std_s02,standard,1,2,1,bayesm,2,Alt2,q05,1.0006666564847089,2411.1310147442737,5612.4870453897,11.848309654763016,27.579788920833906
std_s02,standard,1,2,1,bayesm,2,Alt2,q50,1.0009159188654322,4590.822622710951,9615.153036555064,22.55932492732654,47.24890927054086
std_s02,standard,1,2,1,bayesm,2,Alt2,q95,1.000210755846339,2431.9780208469,5576.040419095893,11.950751945193613,27.40069002012724
std_s02,standard,1,2,1,bayesm,2,Alt3,mean,1.0000354553056117,3884.477861127529,9383.263855062973,19.088343297923977,46.10940469318414
std_s02,standard,1,2,1,bayesm,2,Alt3,sd,1.00058382058756,2051.4938309299387,5052.570334445553,10.081050766240486,24.8283554518209
std_s02,standard,1,2,1,bayesm,2,Alt3,q05,1.0003537831203997,2275.080635666644,4869.819535949456,11.179757423423313,23.93031712997276
std_s02,standard,1,2,1,bayesm,2,Alt3,q50,1.0000354553056117,3884.477861127529,9383.263855062973,19.088343297923977,46.10940469318414
std_s02,standard,1,2,1,bayesm,2,Alt3,q95,1.000497430242535,2594.5835150304674,6666.827592714628,12.74979614265586,32.76082355142323
std_s02,standard,1,2,1,bayesm,2,Price,mean,1.0000362639055995,8304.86543633809,13564.13154631377,40.81014956431494,66.65420907279494
std_s02,standard,1,2,1,bayesm,2,Price,sd,1.0005003482866728,5158.089084892218,11071.162969434605,25.34687511003547,54.40374923555088
std_s02,standard,1,2,1,bayesm,2,Price,q05,1.0004194813248004,4650.537442409253,10016.253356490224,22.852763844762915,49.219918213711175
std_s02,standard,1,2,1,bayesm,2,Price,q50,1.0000361816157537,8304.86543633809,13564.13154631377,40.81014956431494,66.65420907279494
std_s02,standard,1,2,1,bayesm,2,Price,q95,1.0001852432759657,10438.932854340632,15554.85645664426,51.29696734319721,76.43664106459096
std_s03,standard,1,3,1,bayesm,2,Alt1,mean,1.0006285118583782,2768.7125000202013,6670.422850854711,13.401318973960317,32.286654650797246
std_s03,standard,1,3,1,bayesm,2,Alt1,sd,1.000609861256302,1916.3280992254167,4204.624088186975,9.27554743090715,20.35152027196019
std_s03,standard,1,3,1,bayesm,2,Alt1,q05,1.000025814913358,2715.493224802849,6276.764209798971,13.143723256548158,30.38124012487401
std_s03,standard,1,3,1,bayesm,2,Alt1,q50,1.0006285118583782,2768.7125000202013,6670.422850854711,13.401318973960317,32.286654650797246
std_s03,standard,1,3,1,bayesm,2,Alt1,q95,1.001120856987893,1693.9447444979448,4408.212993790805,8.199151715866142,21.336945758909994
std_s03,standard,1,3,1,bayesm,2,Alt2,mean,1.000096957822899,3498.855522212368,8410.440868212178,16.935409110418046,40.7088134957027
std_s03,standard,1,3,1,bayesm,2,Alt2,sd,1.0008258104910517,2138.347605910437,4538.490758777888,10.35018202279979,21.9675254539104
std_s03,standard,1,3,1,bayesm,2,Alt2,q05,1.000428984410895,2299.1252238996235,6070.082496818649,11.128389273473491,29.380844611900528
std_s03,standard,1,3,1,bayesm,2,Alt2,q50,1.0000969176637882,3498.855522212368,8410.440868212178,16.935409110418046,40.7088134957027
std_s03,standard,1,3,1,bayesm,2,Alt2,q95,1.0007333241047032,2665.440810412001,5353.803494850905,12.901456003930306,25.91386009124349
std_s03,standard,1,3,1,bayesm,2,Alt3,mean,1.0001540088262328,3464.5694237488024,7852.158126473902,16.769455100429827,38.0065737002609
