dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,post_mean,post_std,ci_low,ci_high,true_value,abs_diff,in_ci
std_s01,standard,1,1,1,bayesm,2,Alt1,-1.050203493276017,0.0811004892271098,-1.2145223564529393,-0.8933736406736064,-1.072964278711645,0.0227607854356279,True
std_s01,standard,1,1,1,bayesm,2,Alt2,0.569694515479025,0.0810631626204309,0.4109757954990695,0.729625713720281,0.4951586112003165,0.0745359042787084,True
std_s01,standard,1,1,1,bayesm,2,Alt3,-0.8963999633322112,0.081168630751976,-1.0592951480114683,-0.741981244327373,-0.952062100706259,0.0556621373740477,True
std_s01,standard,1,1,1,bayesm,2,Price,-0.495661979306125,0.0599834277472413,-0.6124743999730156,-0.3781317572486329,-0.5181455523987548,0.0224835730926298,True
std_s02,standard,1,2,1,bayesm,2,Alt1,0.6058882369737401,0.0996788852562522,0.4094480506757008,0.8009689836063733,0.6036714606026271,0.0022167763711129,True
std_s02,standard,1,2,1,bayesm,2,Alt2,-0.1019475961135934,0.0783618183173358,-0.2574063394571063,0.0504559664636986,-0.0796134520219965,0.0223341440915969,True
std_s02,standard,1,2,1,bayesm,2,Alt3,-0.2565880927616473,0.0723666352933044,-0.4017329308614318,-0.1159920336937207,-0.2112726914290075,0.0453154013326398,True
std_s02,standard,1,2,1,bayesm,2,Price,-1.8279041516345105,0.0838629157824183,-1.9954797435796248,-1.6643711856889651,-1.6577347444332275,0.1701694072012827,False
std_s03,standard,1,3,1,bayesm,2,Alt1,1.7274434115625226,0.0624939481354408,1.6051141311002717,1.850985370018973,1.6680252708825845,0.0594181406799381,True
std_s03,standard,1,3,1,bayesm,2,Alt2,0.0791346791079622,0.0852607338269531,-0.0910427865387879,0.2465214584241296,0.2596883747016338,0.1805536955936716,False
std_s03,standard,1,3,1,bayesm,2,Alt3,-0.0967965190448445,0.0877220932148118,-0.2689918558729522,0.0744719966070072,0.1102435424238525,0.207040061468697,False
std_s03,standard,1,3,1,bayesm,2,Price,0.6344949750172014,0.0822712921715541,0.4742686743870956,0.7967209803838798,0.5795433466949741,0.0549516283222273,True
std_s04,standard,1,4,1,bayesm,2,Alt1,1.2477147193922875,0.0712923635690972,1.109541755206168,1.388524759634211,1.277523073933294,0.0298083545410061,True
std_s04,standard,1,4,1,bayesm,2,Alt2,0.2201265385840517,0.0636087412679357,0.0948520929924972,0.3438767700388218,0.1256845425469796,0.0944419960370721,True
std_s04,standard,1,4,1,bayesm,2,Alt3,-1.4572706424241966,0.0888366892329345,-1.6353011923500416,-1.286153842823101,-1.575633647564078,0.1183630051398814,True
std_s04,standard,1,4,1,bayesm,2,Price,1.5755324548816814,0.0581345742915866,1.4627975292009143,1.6899690496837407,1.561664660536652,0.0138677943450293,True
std_s05,standard,1,5,1,bayesm,2,Alt1,-0.4134042340642809,0.0942654025609061,-0.6004643091440444,-0.2300105423676524,-0.4706475145800509,0.05724328051577,True
std_s05,standard,1,5,1,bayesm,2,Alt2,-0.1721589810901247,0.0755131898912365,-0.3205758015272432,-0.0273589810131829,-0.0979004748816344,0.0742585062084903,True
std_s05,standard,1,5,1,bayesm,2,Alt3,1.7905788834217826,0.0834250263729532,1.6282494915592762,1.954322334706757,1.884169252631225,0.0935903692094424,True
std_s05,standard,1,5,1,bayesm,2,Price,-1.6587087191631908,0.0738665244704519,-1.8053920932331924,-1.5155758755630198,-1.7426322827367997,0.0839235635736088,True
std_s06,standard,1,6,1,bayesm,2,Alt1,-1.0167558467631412,0.0740944950875621,-1.1608954973952093,-0.8717869793119225,-1.145438532436191,0.12868268567305,True
std_s06,standard,1,6,1,bayesm,2,Alt2,-0.8186821281938759,0.0733951694601357,-0.9651542093510088,-0.677325620211743,-0.7824347160403822,0.0362474121534937,True
std_s06,standard,1,6,1,bayesm,2,Alt3,0.9055531280141068,0.0752990399397743,0.7588888954385805,1.0548021649015518,0.8738665739721179,0.031686554041989,True
std_s06,standard,1,6,1,bayesm,2,Price,0.7287938163003177,0.0430775730074927,0.6452637485647462,0.8145095833051925,0.8114097529802404,0.0826159366799227,True
std_s07,standard,1,7,1,bayesm,2,Alt1,0.0140925227475183,0.082320150911056,-0.1492647647843739,0.1743934062016395,0.0234475548025636,0.0093550320550452,True
std_s07,standard,1,7,1,bayesm,2,Alt2,-1.0091157575986036,0.0812004254630243,-1.1693705625317934,-0.8518520146931831,-1.1399393153086468,0.1308235577100431,True
std_s07,standard,1,7,1,bayesm,2,Alt3,-1.9261844492452016,0.0924094712683469,-2.110214568792608,-1.7492913064681035,-1.869280239002512,0.0569042102426895,True
std_s07,standard,1,7,1,bayesm,2,Price,-1.7991787850641774,0.0621152542292694,-1.9233708501137168,-1.6812326877066686,-1.7808150511343273,0.0183637339298501,True
std_s08,standard,1,8,1,bayesm,2,Alt1,-1.3098085217281383,0.1033689478014985,-1.5150835013100996,-1.1101372493777355,-1.2108557108417597,0.0989528108863788,True
std_s08,standard,1,8,1,bayesm,2,Alt2,0.0070383906751879,0.0837188713525207,-0.16001167038476,0.1699590508299026,0.125618479148625,0.118580088473437,True
std_s08,standard,1,8,1,bayesm,2,Alt3,1.355079410082596,0.0605111905786329,1.237503155535095,1.47490026318706,1.3499604520175184,0.0051189580650776,True
std_s08,standard,1,8,1,bayesm,2,Price,-0.9924291078942722,0.0862777202276247,-1.163856670243878,-0.8233129140720081,-0.9127202154851664,0.0797088924091057,True
std_s09,standard,1,9,1,bayesm,2,Alt1,0.7314760345453194,0.0960210292131655,0.541457345634883,0.9224763592120944,0.7141676369634427,0.0173083975818767,True
std_s09,standard,1,9,1,bayesm,2,Alt2,0.4947388057746947,0.0953021095111524,0.3075620740939651,0.6825875688959048,0.4852836858412434,0.0094551199334512,True
std_s09,standard,1,9,1,bayesm,2,Alt3,0.7910202333218725,0.0882099742792485,0.616019158828121,0.963370107329624,0.8483054720435957,0.0572852387217232,True
std_s09,standard,1,9,1,bayesm,2,Price,1.45206363665824,0.077738837980107,1.300916066266382,1.6059059336541284,1.5376738750155483,0.0856102383573083,True
std_s100,standard,1,100,1,bayesm,2,Alt1,-0.1358971790804859,0.0813513448156945,-0.2972527876016379,0.0202797013977184,-0.1820208348243829,0.0461236557438969,True
std_s100,standard,1,100,1,bayesm,2,Alt2,-1.0795557295754086,0.0810681106285499,-1.240826309784813,-0.9230314983736236,-1.003380717730042,0.0761750118453665,True
std_s100,standard,1,100,1,bayesm,2,Alt3,-0.924420588788768,0.0746630856184717,-1.071366876086294,-0.7808551488007641,-0.9369221110721804,0.0125015222834123,True
std_s100,standard,1,100,1,bayesm,2,Price,-0.9351903339474872,0.0692742188760851,-1.071893152047756,-0.7999121621645431,-0.9442706004373588,0.0090802664898713,True
std_s10,standard,1,10,1,bayesm,2,Alt1,0.5367192954417843,0.0860257429994094,0.3706584335239631,0.7076852884174333,0.5706934550173092,0.0339741595755248,True
std_s10,standard,1,10,1,bayesm,2,Alt2,-0.6404221085254399,0.0947080200588175,-0.8285418271263351,-0.4579128330842956,-0.5128751923514103,0.1275469161740295,True
std_s10,standard,1,10,1,bayesm,2,Alt3,0.3265672808134373,0.081066286852017,0.1677590120075824,0.4865637449774855,0.2757824229883798,0.0507848578250574,True
std_s10,standard,1,10,1,bayesm,2,Price,-0.4876523835745012,0.0829959986076337,-0.6514840720370052,-0.3244931610875851,-0.3892815421193124,0.0983708414551888,True
std_s11,standard,1,11,1,bayesm,2,Alt1,0.1533497626243976,0.0715203892126565,0.0108411820841324,0.2924204007240258,0.0616906000245436,0.091659162599854,True
