dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,demo,param,post_mean,post_std,ci_low,ci_high,true_value,bias,in_ci
std_s01,standard,1,1,1,bayesm,2,z1,Alt1,-0.8010524614891303,0.0812871812017661,-0.9621379645028544,-0.6412502415465358,-0.7307018023610531,-0.0703506591280772,True
std_s01,standard,1,1,1,bayesm,2,z1,Alt2,-0.1414520966601397,0.0837813112936741,-0.3059867909263675,0.023193771111974,-0.2581739543230111,0.1167218576628713,True
std_s01,standard,1,1,1,bayesm,2,z1,Alt3,0.0670029692455062,0.079457473075538,-0.0888229838954969,0.2237455534984643,0.1755584482554826,-0.1085554790099764,True
std_s01,standard,1,1,1,bayesm,2,z1,Price,0.034057051651383,0.0618666380160958,-0.0870358514149453,0.1550407090089686,-0.0343852315393192,0.0684422831907022,True
std_s01,standard,1,1,1,bayesm,2,z2,Alt1,-0.6299158028166244,0.0786896453692851,-0.7861281470271326,-0.4767001867017565,-0.6738824706268318,0.0439666678102074,True
std_s01,standard,1,1,1,bayesm,2,z2,Alt2,0.6518186886847982,0.0813607381257991,0.491149120286314,0.8101628050236356,0.7353699283456845,-0.0835512396608862,True
std_s01,standard,1,1,1,bayesm,2,z2,Alt3,0.1335873657864354,0.0753650590372352,-0.0149296827161292,0.2804136078604754,0.1686104691542292,-0.0350231033677937,True
std_s01,standard,1,1,1,bayesm,2,z2,Price,0.4974314376840218,0.0600052128447742,0.3797110468404102,0.615111368945793,0.5040327165378816,-0.0066012788538597,True
std_s02,standard,1,2,1,bayesm,2,z1,Alt1,-0.7686606245313573,0.0965207758885476,-0.960830014785424,-0.5808218468861097,-0.7505200449037671,-0.0181405796275901,True
std_s02,standard,1,2,1,bayesm,2,z1,Alt2,-1.2040652637808438,0.0800076133858566,-1.3643763544936005,-1.0500283852009002,-1.257719728072096,0.0536544642912522,True
std_s02,standard,1,2,1,bayesm,2,z1,Alt3,-0.0037215371297836,0.0685176187196418,-0.1377601537444828,0.1308251080010328,-0.0514805156305497,0.047758978500766,True
std_s02,standard,1,2,1,bayesm,2,z1,Price,0.5430769239108586,0.0803859370777973,0.3858871556739495,0.7018922172253599,0.334614514620153,0.2084624092907055,False
