element,sampler,min,q1,mean,median,q3,max,n_sim
"Δ₁,₁ (z1:Alt1)",bayesm,0.0004,0.0224,0.0891,0.0688,0.1279,0.4344,100.0
"Δ₁,₁ (z1:Alt1)",NUTS,0.0007,0.0205,0.0902,0.0659,0.1314,0.4581,100.0
"Δ₁,₁ (z1:Alt1)",HMC,0.0005,0.0245,0.0984,0.0775,0.1364,0.4338,100.0
"Δ₁,₂ (z1:Alt2)",bayesm,0.0011,0.0334,0.0989,0.0809,0.1336,0.3843,100.0
"Δ₁,₂ (z1:Alt2)",NUTS,0.0014,0.0313,0.0992,0.074,0.1357,0.3857,100.0
"Δ₁,₂ (z1:Alt2)",HMC,0.0002,0.0337,0.0974,0.0779,0.146,0.3946,100.0
"Δ₁,₃ (z1:Alt3)",bayesm,0.0006,0.0318,0.0923,0.063,0.1234,0.4,100.0
"Δ₁,₃ (z1:Alt3)",NUTS,0.0001,0.0297,0.0887,0.0589,0.118,0.3961,100.0
"Δ₁,₃ (z1:Alt3)",HMC,0.0,0.0333,0.0895,0.061,0.1176,0.4107,100.0
"Δ₁,₄ (z1:Price)",bayesm,0.0,0.0272,0.0704,0.0576,0.1029,0.2485,100.0
"Δ₁,₄ (z1:Price)",NUTS,0.0013,0.0266,0.071,0.0555,0.1029,0.2442,100.0
"Δ₁,₄ (z1:Price)",HMC,0.0,0.0299,0.0746,0.0581,0.1091,0.292,100.0
"Δ₂,₁ (z2:Alt1)",bayesm,0.0046,0.0334,0.0958,0.0731,0.1474,0.3721,100.0
"Δ₂,₁ (z2:Alt1)",NUTS,0.0033,0.0306,0.1024,0.0796,0.1474,0.3952,100.0
"Δ₂,₁ (z2:Alt1)",HMC,0.0025,0.0352,0.0989,0.0755,0.1478,0.395,100.0
"Δ₂,₂ (z2:Alt2)",bayesm,0.0,0.0436,0.0951,0.0825,0.1396,0.2698,100.0
"Δ₂,₂ (z2:Alt2)",NUTS,0.0005,0.0445,0.1,0.09,0.1476,0.4034,100.0
"Δ₂,₂ (z2:Alt2)",HMC,0.0005,0.0424,0.0972,0.0881,0.1441,0.2998,100.0
"Δ₂,₃ (z2:Alt3)",bayesm,0.0007,0.0461,0.1114,0.0831,0.1411,0.9941,100.0
"Δ₂,₃ (z2:Alt3)",NUTS,0.0008,0.0466,0.1189,0.0839,0.1394,1.0525,100.0
"Δ₂,₃ (z2:Alt3)",HMC,0.0001,0.0385,0.1103,0.0791,0.1408,1.0461,100.0
"Δ₂,₄ (z2:Price)",bayesm,0.0,0.0302,0.0652,0.0544,0.0887,0.2068,100.0
"Δ₂,₄ (z2:Price)",NUTS,0.0001,0.0324,0.0681,0.0603,0.0907,0.2168,100.0
"Δ₂,₄ (z2:Price)",HMC,0.0002,0.0307,0.0678,0.0574,0.0948,0.2116,100.0
