k_true,param,sampler,metric,min,q1,mean,median,q3,max,n_sim
1,Price,bayesm,JSD,0.00161,0.00348,0.00776,0.00488,0.00934,0.03339,100.0
1,Price,Replication,JSD,0.00153,0.00333,0.00805,0.00524,0.00972,0.03794,100.0
1,Price,NUTS,JSD,0.00135,0.00319,0.00832,0.00469,0.01077,0.05536,100.0
1,Price,HMC,JSD,0.00143,0.00288,0.00806,0.00444,0.01008,0.04572,100.0
1,Price,bayesm,TVD,0.01117,0.0331,0.05962,0.04872,0.07477,0.18317,100.0
1,Price,Replication,TVD,0.00979,0.03383,0.06068,0.0481,0.07464,0.18031,100.0
1,Price,NUTS,TVD,0.00789,0.03237,0.06195,0.0519,0.07912,0.21821,100.0
1,Price,HMC,TVD,0.01065,0.03198,0.06143,0.04772,0.0785,0.21651,100.0
2,Alt1,bayesm,Hellinger,0.05288,0.07493,0.12363,0.10309,0.1449,0.43298,100.0
2,Alt1,Replication,Hellinger,0.04842,0.07521,0.12298,0.10272,0.1406,0.4956,100.0
2,Alt1,NUTS,Hellinger,0.04147,0.07872,0.1395,0.11375,0.16515,0.59309,100.0
2,Alt1,HMC,Hellinger,0.04073,0.07968,0.13986,0.11132,0.17341,0.47446,100.0
2,Alt1,bayesm,KL,0.03744,0.09907,inf,0.2024,0.39381,inf,100.0
2,Alt1,Replication,KL,0.0248,0.09261,inf,0.19902,0.44524,inf,100.0
2,Alt1,NUTS,KL,0.0169,0.3188,inf,0.64909,1.17732,inf,100.0
2,Alt1,HMC,KL,0.04151,0.33079,inf,0.51475,0.89314,inf,100.0
2,Alt1,bayesm,JSD,0.00222,0.00484,0.01789,0.00938,0.01858,0.15542,100.0
2,Alt1,Replication,JSD,0.00191,0.00471,0.01794,0.0094,0.01755,0.19635,100.0
2,Alt1,NUTS,JSD,0.00145,0.0054,0.02354,0.01192,0.02409,0.2733,100.0
2,Alt1,HMC,JSD,0.00147,0.00557,0.02322,0.0116,0.02673,0.18145,100.0
2,Alt1,bayesm,TVD,0.02429,0.0546,0.09887,0.08502,0.11838,0.3709,100.0
2,Alt1,Replication,TVD,0.02342,0.05164,0.09893,0.08346,0.11773,0.41761,100.0
2,Alt1,NUTS,TVD,0.0251,0.05466,0.11353,0.09428,0.13904,0.50519,100.0
2,Alt1,HMC,TVD,0.02603,0.05911,0.11583,0.09234,0.15057,0.4295,100.0
2,Alt2,bayesm,Hellinger,0.04744,0.07894,0.12672,0.10167,0.15282,0.40286,100.0
2,Alt2,Replication,Hellinger,0.04623,0.08139,0.1265,0.1018,0.14663,0.47261,100.0
2,Alt2,NUTS,Hellinger,0.04153,0.07586,0.13481,0.10318,0.1721,0.38614,100.0
2,Alt2,HMC,Hellinger,0.0473,0.07765,0.13126,0.10466,0.16862,0.37265,100.0
2,Alt2,bayesm,KL,0.04081,0.11103,0.42172,0.22626,0.45661,2.71139,100.0
2,Alt2,Replication,KL,0.0319,0.11354,0.48518,0.18532,0.41508,5.76729,100.0
2,Alt2,NUTS,KL,0.01014,0.20619,inf,0.41508,0.97736,inf,100.0
2,Alt2,HMC,KL,0.04892,0.21926,inf,0.35772,0.58927,inf,100.0
2,Alt2,bayesm,JSD,0.00183,0.00553,0.01788,0.00922,0.02048,0.13853,100.0
2,Alt2,Replication,JSD,0.00178,0.0058,0.01826,0.0089,0.01884,0.18004,100.0
2,Alt2,NUTS,JSD,0.00137,0.00505,0.02125,0.00942,0.02618,0.11932,100.0
2,Alt2,HMC,JSD,0.0017,0.00529,0.0199,0.01001,0.02494,0.11594,100.0
2,Alt2,bayesm,TVD,0.02365,0.05633,0.10023,0.08139,0.12464,0.3466,100.0
2,Alt2,Replication,TVD,0.02463,0.05698,0.09991,0.08192,0.12094,0.39248,100.0
2,Alt2,NUTS,TVD,0.01731,0.0572,0.10962,0.08871,0.1391,0.33913,100.0
2,Alt2,HMC,TVD,0.01653,0.05667,0.10841,0.0926,0.13616,0.31404,100.0
2,Alt3,bayesm,Hellinger,0.05172,0.08105,0.13118,0.1076,0.15215,0.41381,100.0
2,Alt3,Replication,Hellinger,0.04909,0.08045,0.12888,0.10179,0.14494,0.43286,100.0
2,Alt3,NUTS,Hellinger,0.03407,0.07988,0.13197,0.10546,0.14792,0.55827,100.0
2,Alt3,HMC,Hellinger,0.04294,0.08068,0.12763,0.10435,0.14686,0.43569,100.0
2,Alt3,bayesm,KL,0.03024,0.11416,0.59433,0.20962,0.4014,10.58045,100.0
2,Alt3,Replication,KL,0.0278,0.10154,0.55708,0.20946,0.45076,6.61322,100.0
2,Alt3,NUTS,KL,0.01593,0.13185,inf,0.29168,0.56732,inf,100.0
2,Alt3,HMC,KL,0.03949,0.14132,inf,0.24626,0.4212,inf,100.0
2,Alt3,bayesm,JSD,0.00235,0.00577,0.01972,0.01062,0.02116,0.14371,100.0
2,Alt3,Replication,JSD,0.00206,0.00546,0.0194,0.00922,0.01867,0.15376,100.0
2,Alt3,NUTS,JSD,0.00099,0.00572,0.02183,0.01028,0.01926,0.2435,100.0
2,Alt3,HMC,JSD,0.00149,0.00564,0.01928,0.00996,0.02014,0.1605,100.0
2,Alt3,bayesm,TVD,0.02379,0.06203,0.10636,0.08805,0.13212,0.38745,100.0
2,Alt3,Replication,TVD,0.02334,0.05906,0.10457,0.08283,0.1199,0.40568,100.0
2,Alt3,NUTS,TVD,0.0217,0.06371,0.11266,0.0878,0.12762,0.52314,100.0
2,Alt3,HMC,TVD,0.02112,0.06749,0.10906,0.08936,0.12778,0.44626,100.0
2,Price,bayesm,Hellinger,0.04195,0.07109,0.09701,0.08967,0.11092,0.26303,100.0
2,Price,Replication,Hellinger,0.04345,0.07022,0.09768,0.08824,0.11424,0.27836,100.0
2,Price,NUTS,Hellinger,0.03693,0.06771,0.09939,0.08948,0.12116,0.30305,100.0
2,Price,HMC,Hellinger,0.03967,0.06665,0.09768,0.08408,0.11619,0.3036,100.0
2,Price,bayesm,KL,0.02527,0.08934,inf,0.15296,0.23642,inf,100.0
2,Price,Replication,KL,0.02633,0.0854,inf,0.16521,0.26816,inf,100.0
2,Price,NUTS,KL,0.02163,0.08134,inf,0.14308,0.27896,inf,100.0
2,Price,HMC,KL,0.0304,0.08784,inf,0.15661,0.23501,inf,100.0
2,Price,bayesm,JSD,0.00146,0.00429,0.00964,0.00698,0.01136,0.05889,100.0
2,Price,Replication,JSD,0.00153,0.00454,0.00968,0.00685,0.01179,0.06532,100.0
2,Price,NUTS,JSD,0.00109,0.00396,0.01088,0.00758,0.01269,0.07763,100.0
2,Price,HMC,JSD,0.00132,0.00402,0.01048,0.00646,0.01252,0.07784,100.0
2,Price,bayesm,TVD,0.01793,0.05172,0.07703,0.07204,0.09694,0.20425,100.0
2,Price,Replication,TVD,0.0206,0.05118,0.07673,0.07099,0.09723,0.21908,100.0
2,Price,NUTS,TVD,0.01792,0.05286,0.08179,0.0708,0.10443,0.24471,100.0
2,Price,HMC,TVD,0.01818,0.05308,0.08137,0.06962,0.10184,0.25536,100.0
3,Alt1,bayesm,Hellinger,0.0428,0.08382,0.1318,0.11169,0.14659,0.39314,100.0
3,Alt1,Replication,Hellinger,0.04793,0.086,0.13455,0.11258,0.1442,0.43044,100.0
3,Alt1,NUTS,Hellinger,0.04421,0.0995,0.16041,0.13274,0.17972,0.53887,100.0
3,Alt1,HMC,Hellinger,0.04737,0.09514,0.16023,0.13604,0.18186,0.52474,100.0
3,Alt1,bayesm,KL,0.01948,0.10447,0.58861,0.17256,0.3654,5.70668,100.0
3,Alt1,Replication,KL,0.02517,0.09459,0.85259,0.192,0.42264,15.44179,100.0
3,Alt1,NUTS,KL,0.05072,0.29262,inf,0.47662,1.78241,inf,100.0
3,Alt1,HMC,KL,0.04275,0.21702,inf,0.35142,0.83441,inf,100.0
3,Alt1,bayesm,JSD,0.00163,0.00604,0.02007,0.01096,0.01791,0.12414,100.0
3,Alt1,Replication,JSD,0.00202,0.00665,0.02084,0.0111,0.01863,0.14698,100.0
3,Alt1,NUTS,JSD,0.00176,0.00879,0.02917,0.01638,0.02911,0.21807,100.0
3,Alt1,HMC,JSD,0.00199,0.00839,0.02982,0.01684,0.02962,0.20756,100.0
3,Alt1,bayesm,TVD,0.0258,0.06838,0.10626,0.09166,0.12459,0.32875,100.0
3,Alt1,Replication,TVD,0.02697,0.06901,0.1079,0.09301,0.12387,0.34781,100.0
3,Alt1,NUTS,TVD,0.02876,0.07889,0.13018,0.11727,0.15251,0.38569,100.0
3,Alt1,HMC,TVD,0.02935,0.0788,0.13132,0.11484,0.1497,0.3662,100.0
3,Alt2,bayesm,Hellinger,0.04177,0.08272,0.12763,0.10616,0.14703,0.44025,100.0
3,Alt2,Replication,Hellinger,0.04088,0.08518,0.1279,0.1096,0.14756,0.34625,100.0
3,Alt2,NUTS,Hellinger,0.05371,0.09831,0.14836,0.12398,0.17919,0.49465,100.0
3,Alt2,HMC,Hellinger,0.04536,0.09362,0.14223,0.12252,0.16779,0.50292,100.0
3,Alt2,bayesm,KL,0.01479,0.08692,0.49291,0.17476,0.30919,13.44515,100.0
3,Alt2,Replication,KL,0.01433,0.09451,0.40338,0.17666,0.38431,7.05855,100.0
3,Alt2,NUTS,KL,0.03222,0.17327,inf,0.336,0.77857,inf,100.0
3,Alt2,HMC,KL,0.02925,0.15077,inf,0.23708,0.48976,inf,100.0
3,Alt2,bayesm,JSD,0.00154,0.00611,0.01814,0.00999,0.01951,0.15328,100.0
3,Alt2,Replication,JSD,0.00149,0.00648,0.01744,0.01062,0.01952,0.09832,100.0
3,Alt2,NUTS,JSD,0.00255,0.00885,0.02443,0.0134,0.02884,0.19102,100.0
3,Alt2,HMC,JSD,0.00184,0.00815,0.02249,0.01389,0.02557,0.19743,100.0
3,Alt2,bayesm,TVD,0.027,0.06766,0.10685,0.09458,0.12736,0.33728,100.0
3,Alt2,Replication,TVD,0.02695,0.06845,0.10596,0.09538,0.12652,0.26713,100.0
3,Alt2,NUTS,TVD,0.03258,0.07902,0.12374,0.10485,0.15508,0.38117,100.0
3,Alt2,HMC,TVD,0.02734,0.07764,0.12074,0.10747,0.15045,0.40175,100.0
3,Alt3,bayesm,Hellinger,0.0545,0.08445,0.13652,0.10932,0.15792,0.44417,100.0
3,Alt3,Replication,Hellinger,0.05194,0.0858,0.13897,0.11106,0.16395,0.44904,100.0
3,Alt3,NUTS,Hellinger,0.05274,0.08709,0.14958,0.1139,0.18379,0.488,100.0
3,Alt3,HMC,Hellinger,0.05014,0.08513,0.14834,0.1127,0.18759,0.43714,100.0
3,Alt3,bayesm,KL,0.01947,0.08961,0.66912,0.15798,0.41543,18.27451,100.0
3,Alt3,Replication,KL,0.02398,0.09782,inf,0.1873,0.42396,inf,100.0
3,Alt3,NUTS,KL,0.02166,0.11988,inf,0.20046,0.55163,inf,100.0
3,Alt3,HMC,KL,0.0269,0.10794,inf,0.1842,0.40639,inf,100.0
3,Alt3,bayesm,JSD,0.00272,0.00656,0.02155,0.0112,0.02218,0.15414,100.0
3,Alt3,Replication,JSD,0.00245,0.00642,0.02271,0.01106,0.02446,0.16167,100.0
3,Alt3,NUTS,JSD,0.00228,0.0071,0.02676,0.01156,0.03042,0.18704,100.0
3,Alt3,HMC,JSD,0.00219,0.0066,0.02635,0.01163,0.03118,0.15433,100.0
3,Alt3,bayesm,TVD,0.0324,0.06913,0.11345,0.09345,0.13055,0.34345,100.0
3,Alt3,Replication,TVD,0.03085,0.07295,0.1157,0.09287,0.13653,0.42643,100.0
3,Alt3,NUTS,TVD,0.02278,0.07294,0.1258,0.09979,0.15129,0.41848,100.0
3,Alt3,HMC,TVD,0.02489,0.06989,0.12753,0.10208,0.15562,0.43146,100.0
3,Price,bayesm,Hellinger,0.03191,0.07214,0.09356,0.0878,0.11158,0.19771,100.0
3,Price,Replication,Hellinger,0.03765,0.0727,0.09374,0.08814,0.11675,0.20236,100.0
3,Price,NUTS,Hellinger,0.0428,0.07357,0.10373,0.08972,0.1233,0.32234,100.0
3,Price,HMC,Hellinger,0.03525,0.07388,0.09783,0.09032,0.11413,0.23332,100.0
3,Price,bayesm,KL,0.00745,0.06106,0.13765,0.10273,0.1621,0.76041,100.0
3,Price,Replication,KL,0.0099,0.06177,0.14419,0.09079,0.18592,0.93735,100.0
3,Price,NUTS,KL,0.01984,0.06968,0.236,0.13022,0.21278,4.03495,100.0
3,Price,HMC,KL,0.00757,0.06985,0.14006,0.11094,0.16361,0.61704,100.0
3,Price,bayesm,JSD,0.00094,0.00473,0.00883,0.00717,0.01158,0.03526,100.0
3,Price,Replication,JSD,0.00131,0.00464,0.0089,0.00712,0.0123,0.03689,100.0
3,Price,NUTS,JSD,0.00163,0.005,0.01162,0.0076,0.01409,0.08419,100.0
3,Price,HMC,JSD,0.00119,0.00514,0.01002,0.0076,0.01238,0.04818,100.0
3,Price,bayesm,TVD,0.02715,0.05601,0.07845,0.07755,0.09388,0.17921,100.0
3,Price,Replication,TVD,0.03002,0.05728,0.07916,0.07845,0.09727,0.18237,100.0
3,Price,NUTS,TVD,0.0307,0.06279,0.08661,0.0824,0.09684,0.28241,100.0
3,Price,HMC,TVD,0.02741,0.06094,0.08407,0.07997,0.10228,0.20303,100.0
5,Alt1,bayesm,Hellinger,0.03704,0.09174,0.14659,0.11972,0.18311,0.35573,100.0
5,Alt1,Replication,Hellinger,0.03634,0.08841,0.14721,0.12701,0.20177,0.35995,100.0
5,Alt1,NUTS,Hellinger,0.05436,0.12463,0.18508,0.17053,0.23392,0.38814,100.0
5,Alt1,HMC,Hellinger,0.05174,0.12183,0.18777,0.17496,0.22077,0.40358,100.0
5,Alt1,bayesm,KL,0.00619,0.05172,1.01585,0.12371,0.30435,15.29591,100.0
5,Alt1,Replication,KL,0.00543,0.04718,0.69466,0.11588,0.35653,12.66536,100.0
5,Alt1,NUTS,KL,0.02495,0.13666,inf,0.32146,1.00086,inf,100.0
5,Alt1,HMC,KL,0.02572,0.15687,inf,0.32711,0.68665,inf,100.0
5,Alt1,bayesm,JSD,0.00126,0.00795,0.0239,0.01323,0.0316,0.09847,100.0
5,Alt1,Replication,JSD,0.00132,0.00674,0.0241,0.01484,0.03519,0.10248,100.0
5,Alt1,NUTS,JSD,0.00281,0.01403,0.03518,0.0254,0.04741,0.11829,100.0
5,Alt1,HMC,JSD,0.00253,0.01341,0.0362,0.02728,0.0445,0.12887,100.0
5,Alt1,bayesm,TVD,0.03087,0.07787,0.11891,0.10718,0.1598,0.25565,100.0
5,Alt1,Replication,TVD,0.03869,0.07472,0.12003,0.10914,0.16056,0.24077,100.0
5,Alt1,NUTS,TVD,0.04306,0.10108,0.14739,0.13912,0.19126,0.32234,100.0
5,Alt1,HMC,TVD,0.04777,0.09688,0.15325,0.14697,0.19731,0.3408,100.0
5,Alt2,bayesm,Hellinger,0.03287,0.08803,0.13939,0.12368,0.17834,0.37318,100.0
5,Alt2,Replication,Hellinger,0.03531,0.08418,0.13531,0.1274,0.17099,0.35142,100.0
5,Alt2,NUTS,Hellinger,0.03703,0.10464,0.16816,0.15855,0.21716,0.43087,100.0
5,Alt2,HMC,Hellinger,0.04307,0.10786,0.16928,0.15646,0.22185,0.3943,100.0
5,Alt2,bayesm,KL,0.00719,0.05756,0.54175,0.1132,0.27627,14.12802,100.0
5,Alt2,Replication,KL,0.00524,0.04421,0.3257,0.10391,0.24573,4.15636,100.0
5,Alt2,NUTS,KL,0.01703,0.10237,inf,0.26529,0.60088,inf,100.0
5,Alt2,HMC,KL,0.01324,0.12781,inf,0.24118,0.5733,inf,100.0
5,Alt2,bayesm,JSD,0.00095,0.00693,0.02142,0.01445,0.02869,0.1082,100.0
5,Alt2,Replication,JSD,0.00106,0.00678,0.02006,0.01514,0.02607,0.09929,100.0
5,Alt2,NUTS,JSD,0.00124,0.01024,0.0295,0.02374,0.04284,0.1426,100.0
5,Alt2,HMC,JSD,0.00175,0.01047,0.02967,0.02223,0.04422,0.12165,100.0
5,Alt2,bayesm,TVD,0.02366,0.07682,0.11654,0.112,0.1487,0.25349,100.0
5,Alt2,Replication,TVD,0.02147,0.07556,0.11302,0.1099,0.14244,0.2559,100.0
5,Alt2,NUTS,TVD,0.02768,0.08922,0.13686,0.1364,0.17875,0.31717,100.0
5,Alt2,HMC,TVD,0.0252,0.09423,0.14185,0.13248,0.18886,0.30294,100.0
5,Alt3,bayesm,Hellinger,0.03879,0.09058,0.13982,0.12316,0.15802,0.40535,100.0
5,Alt3,Replication,Hellinger,0.04301,0.09116,0.14229,0.11915,0.15921,0.39407,100.0
5,Alt3,NUTS,Hellinger,0.04503,0.10522,0.16571,0.14504,0.1958,0.4371,100.0
5,Alt3,HMC,Hellinger,0.04813,0.11062,0.17256,0.15044,0.20472,0.4031,100.0
5,Alt3,bayesm,KL,0.006,0.04929,0.42858,0.10472,0.29204,8.64924,100.0
5,Alt3,Replication,KL,0.00803,0.04572,inf,0.09983,0.28152,inf,100.0
5,Alt3,NUTS,KL,0.01207,0.08721,inf,0.18576,0.47856,inf,100.0
5,Alt3,HMC,KL,0.01852,0.1031,inf,0.20234,0.44418,inf,100.0
5,Alt3,bayesm,JSD,0.0015,0.00802,0.02155,0.01402,0.02238,0.13526,100.0
5,Alt3,Replication,JSD,0.00183,0.00796,0.02257,0.01322,0.02259,0.12813,100.0
5,Alt3,NUTS,JSD,0.00194,0.01024,0.02977,0.01946,0.03474,0.15338,100.0
5,Alt3,HMC,JSD,0.00213,0.01151,0.03169,0.02034,0.0361,0.13379,100.0
5,Alt3,bayesm,TVD,0.04523,0.0783,0.12028,0.11102,0.14217,0.30196,100.0
5,Alt3,Replication,TVD,0.04473,0.07994,0.12167,0.10622,0.14458,0.29234,100.0
5,Alt3,NUTS,TVD,0.04105,0.09351,0.14004,0.12252,0.1698,0.37262,100.0
5,Alt3,HMC,TVD,0.0392,0.09889,0.14717,0.13424,0.17588,0.36648,100.0
5,Price,bayesm,Hellinger,0.02936,0.06783,0.09081,0.08398,0.10691,0.19669,100.0
5,Price,Replication,Hellinger,0.01909,0.06752,0.08979,0.08688,0.105,0.20183,100.0
5,Price,NUTS,Hellinger,0.03349,0.08065,0.10875,0.09798,0.13472,0.22791,100.0
5,Price,HMC,Hellinger,0.03544,0.08324,0.11273,0.10242,0.13492,0.24465,100.0
5,Price,bayesm,KL,0.00494,0.02461,0.06417,0.044,0.07435,0.24519,100.0
5,Price,Replication,KL,0.00155,0.02489,0.0625,0.04796,0.07432,0.28905,100.0
5,Price,NUTS,KL,0.00549,0.05127,0.13641,0.0829,0.13993,1.84155,100.0
5,Price,HMC,KL,0.01039,0.04737,0.14391,0.08456,0.16242,1.13147,100.0
5,Price,bayesm,JSD,0.00082,0.00449,0.009,0.00674,0.01106,0.03595,100.0
5,Price,Replication,JSD,0.00036,0.00431,0.00871,0.00721,0.0106,0.03739,100.0
5,Price,NUTS,JSD,0.00104,0.00616,0.01284,0.00895,0.01668,0.04568,100.0
5,Price,HMC,JSD,0.00117,0.00655,0.01358,0.00997,0.01705,0.05445,100.0
5,Price,bayesm,TVD,0.02465,0.05843,0.0815,0.07698,0.10047,0.1761,100.0
5,Price,Replication,TVD,0.01381,0.05674,0.08032,0.07988,0.09651,0.17743,100.0
5,Price,NUTS,TVD,0.02329,0.06577,0.09436,0.08648,0.11526,0.20482,100.0
5,Price,HMC,TVD,0.02314,0.07004,0.09902,0.09269,0.12605,0.22072,100.0
