param,sampler,metric,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,Hellinger,0.05464,0.07534,0.115,0.09535,0.14192,0.43296,50.0
Alt1,Replication,Hellinger,0.05308,0.07224,0.11606,0.097,0.1348,0.45998,50.0
Alt1,NUTS,Hellinger,0.04758,0.08088,0.12704,0.1108,0.15578,0.38621,50.0
Alt1,HMC,Hellinger,0.05269,0.08474,0.13196,0.10556,0.1699,0.37945,50.0
Alt1,bayesm,KL,0.03709,0.09191,0.56247,0.18192,0.37987,9.73744,50.0
Alt1,Replication,KL,0.02518,0.08883,0.41603,0.17572,0.4662,2.8384,50.0
Alt1,NUTS,KL,0.01687,0.26838,inf,0.56875,1.05568,inf,50.0
Alt1,HMC,KL,0.1275,0.34428,inf,0.58043,0.92919,inf,50.0
Alt1,bayesm,JSD,0.0026,0.00489,0.0149,0.00785,0.01774,0.1554,50.0
Alt1,Replication,JSD,0.00232,0.00454,0.01562,0.00843,0.01667,0.17378,50.0
Alt1,NUTS,JSD,0.00185,0.00593,0.01797,0.01122,0.02161,0.12532,50.0
Alt1,HMC,JSD,0.00225,0.00587,0.01959,0.01026,0.0254,0.12583,50.0
Alt1,bayesm,TVD,0.03355,0.05674,0.09162,0.07291,0.11362,0.3709,50.0
Alt1,Replication,TVD,0.03208,0.0537,0.09329,0.07955,0.11817,0.39302,50.0
Alt1,NUTS,TVD,0.03427,0.05645,0.10136,0.09166,0.12957,0.32209,50.0
Alt1,HMC,TVD,0.0288,0.06037,0.10825,0.09219,0.14289,0.36813,50.0
Alt1,bayesm,Wasserstein1,0.09121,0.13174,0.33328,0.25365,0.47001,1.72972,50.0
Alt1,Replication,Wasserstein1,0.09091,0.12434,0.33129,0.26446,0.43102,1.82658,50.0
Alt1,NUTS,Wasserstein1,0.08315,0.17535,0.39393,0.30754,0.47996,1.45424,50.0
Alt1,HMC,Wasserstein1,0.09308,0.1759,0.39808,0.30138,0.58493,1.21482,50.0
Alt2,bayesm,Hellinger,0.04736,0.07811,0.1228,0.10266,0.13762,0.40283,50.0
