element,bias_bayesm,bias_NUTS,bias_HMC,mcse_bayesm,mcse_NUTS,mcse_HMC,n_sim_bayesm,n_sim_NUTS,n_sim_HMC
"Δ₁,₁ (z1:Alt1)",-0.0086,-0.0137,-0.0136,0.0196,0.0218,0.0246,100.0,99.0,100.0
"Δ₁,₂ (z1:Alt2)",0.0047,-0.0009,0.0054,0.0159,0.0151,0.0155,100.0,99.0,100.0
"Δ₁,₃ (z1:Alt3)",-0.018,-0.0293,-0.0139,0.0214,0.0298,0.0211,100.0,99.0,100.0
"Δ₁,₄ (z1:Price)",-0.0006,0.0005,-0.0004,0.0109,0.011,0.011,100.0,99.0,100.0
"Δ₂,₁ (z2:Alt1)",0.0022,0.0003,-0.0131,0.0199,0.0217,0.0268,100.0,99.0,100.0
"Δ₂,₂ (z2:Alt2)",-0.0156,-0.0172,-0.0202,0.0148,0.0162,0.0154,100.0,99.0,100.0
"Δ₂,₃ (z2:Alt3)",0.0066,0.0158,0.0059,0.0132,0.017,0.015,100.0,99.0,100.0
"Δ₂,₄ (z2:Price)",-0.0001,0.0007,-0.0006,0.0098,0.0098,0.0099,100.0,99.0,100.0
