element,bias_bayesm,bias_NUTS,bias_HMC,mcse_bayesm,mcse_NUTS,mcse_HMC,n_sim_bayesm,n_sim_NUTS,n_sim_HMC
"Δ₁,₁ (z1:Alt1)",0.0212,0.0225,0.021,0.0124,0.0126,0.0124,100.0,100.0,100.0
"Δ₁,₂ (z1:Alt2)",0.0132,0.0134,0.0136,0.0122,0.0127,0.0128,100.0,100.0,100.0
"Δ₁,₃ (z1:Alt3)",0.0028,0.0006,0.0005,0.0122,0.0125,0.0126,100.0,100.0,100.0
"Δ₁,₄ (z1:Price)",0.0052,0.0049,0.0048,0.0093,0.0096,0.0096,100.0,100.0,100.0
"Δ₂,₁ (z2:Alt1)",-0.0058,-0.0029,-0.0092,0.0116,0.0121,0.0124,100.0,100.0,100.0
"Δ₂,₂ (z2:Alt2)",-0.0133,-0.0194,-0.0143,0.0137,0.0136,0.0139,100.0,100.0,100.0
"Δ₂,₃ (z2:Alt3)",-0.0079,-0.0106,-0.011,0.0122,0.0131,0.0129,100.0,100.0,100.0
"Δ₂,₄ (z2:Price)",0.0132,0.0107,0.0122,0.0096,0.0099,0.0102,100.0,100.0,100.0
