k_true,element,sampler,min,q1,mean,median,q3,max,n_sim
2,"Δ₁,₄ (z1:Price)",NUTS,0.0551,0.0781,0.0897,0.0866,0.0991,0.1604,100.0
2,"Δ₁,₄ (z1:Price)",HMC,0.0537,0.0782,0.0897,0.0869,0.0989,0.1535,100.0
2,"Δ₂,₁ (z2:Alt1)",bayesm,0.0716,0.097,0.1145,0.1093,0.1296,0.1956,100.0
2,"Δ₂,₁ (z2:Alt1)",Replication,0.0711,0.0979,0.1144,0.1093,0.1297,0.1913,100.0
2,"Δ₂,₁ (z2:Alt1)",NUTS,0.0725,0.1004,0.1181,0.1126,0.133,0.1929,100.0
2,"Δ₂,₁ (z2:Alt1)",HMC,0.0735,0.1003,0.1179,0.1125,0.1304,0.1999,100.0
2,"Δ₂,₂ (z2:Alt2)",bayesm,0.068,0.0998,0.1196,0.1113,0.1278,0.3639,100.0
2,"Δ₂,₂ (z2:Alt2)",Replication,0.0676,0.1001,0.119,0.1109,0.1293,0.3293,100.0
2,"Δ₂,₂ (z2:Alt2)",NUTS,0.0688,0.1021,0.1223,0.113,0.1331,0.3803,100.0
2,"Δ₂,₂ (z2:Alt2)",HMC,0.0669,0.101,0.1216,0.1118,0.1336,0.3698,100.0
2,"Δ₂,₃ (z2:Alt3)",bayesm,0.0596,0.0951,0.1244,0.1077,0.1287,0.6484,100.0
2,"Δ₂,₃ (z2:Alt3)",Replication,0.0597,0.096,0.1241,0.1072,0.1285,0.5725,100.0
2,"Δ₂,₃ (z2:Alt3)",NUTS,0.06,0.0962,0.1262,0.1079,0.1287,0.6812,100.0
2,"Δ₂,₃ (z2:Alt3)",HMC,0.0592,0.0963,0.1249,0.1075,0.1328,0.5037,100.0
2,"Δ₂,₄ (z2:Price)",bayesm,0.051,0.0772,0.0885,0.0874,0.0988,0.1566,100.0
2,"Δ₂,₄ (z2:Price)",Replication,0.0514,0.0769,0.0886,0.0873,0.0977,0.1591,100.0
2,"Δ₂,₄ (z2:Price)",NUTS,0.0513,0.0785,0.0893,0.0889,0.0983,0.1651,100.0
2,"Δ₂,₄ (z2:Price)",HMC,0.0511,0.0777,0.0893,0.0876,0.0971,0.16,100.0
3,"Δ₁,₁ (z1:Alt1)",bayesm,0.0773,0.1,0.1143,0.1094,0.1263,0.2411,100.0
3,"Δ₁,₁ (z1:Alt1)",Replication,0.0763,0.1003,0.1138,0.1092,0.1255,0.2375,100.0
3,"Δ₁,₁ (z1:Alt1)",NUTS,0.0778,0.1045,0.1197,0.1134,0.1321,0.2684,100.0
3,"Δ₁,₁ (z1:Alt1)",HMC,0.0782,0.103,0.1202,0.1145,0.1313,0.2614,100.0
3,"Δ₁,₂ (z1:Alt2)",bayesm,0.0772,0.1037,0.117,0.1121,0.1222,0.2283,100.0
3,"Δ₁,₂ (z1:Alt2)",Replication,0.0789,0.1036,0.1169,0.113,0.1226,0.2345,100.0
3,"Δ₁,₂ (z1:Alt2)",NUTS,0.0796,0.1074,0.1211,0.1163,0.1284,0.2449,100.0
3,"Δ₁,₂ (z1:Alt2)",HMC,0.083,0.1081,0.1216,0.1162,0.1285,0.2772,100.0
3,"Δ₁,₃ (z1:Alt3)",bayesm,0.0728,0.1006,0.1173,0.1093,0.1289,0.2599,100.0
3,"Δ₁,₃ (z1:Alt3)",Replication,0.0736,0.1,0.1168,0.1092,0.1288,0.2503,100.0
3,"Δ₁,₃ (z1:Alt3)",NUTS,0.0742,0.1029,0.1213,0.1115,0.1355,0.2626,100.0
