element,sampler,min,q1,mean,median,q3,max,n_sim
"Δ₁,₁ (z1:Alt1)",bayesm,0.0773,0.1,0.1143,0.1094,0.1263,0.2411,100.0
"Δ₁,₁ (z1:Alt1)",Replication,0.0766,0.0998,0.1145,0.11,0.1257,0.2578,100.0
"Δ₁,₁ (z1:Alt1)",NUTS,0.0778,0.1045,0.1197,0.1134,0.1321,0.2684,100.0
"Δ₁,₁ (z1:Alt1)",HMC,0.0782,0.103,0.1202,0.1145,0.1313,0.2614,100.0
"Δ₁,₂ (z1:Alt2)",bayesm,0.0772,0.1037,0.117,0.1121,0.1222,0.2283,100.0
"Δ₁,₂ (z1:Alt2)",Replication,0.0786,0.1043,0.1171,0.1125,0.1233,0.2343,100.0
"Δ₁,₂ (z1:Alt2)",NUTS,0.0796,0.1074,0.1211,0.1163,0.1284,0.2449,100.0
"Δ₁,₂ (z1:Alt2)",HMC,0.083,0.1081,0.1216,0.1162,0.1285,0.2772,100.0
"Δ₁,₃ (z1:Alt3)",bayesm,0.0728,0.1006,0.1173,0.1093,0.1289,0.2599,100.0
"Δ₁,₃ (z1:Alt3)",Replication,0.0736,0.0992,0.1169,0.1086,0.1284,0.2533,100.0
"Δ₁,₃ (z1:Alt3)",NUTS,0.0742,0.1029,0.1213,0.1115,0.1355,0.2626,100.0
"Δ₁,₃ (z1:Alt3)",HMC,0.0737,0.1017,0.1216,0.1116,0.1339,0.2765,100.0
"Δ₁,₄ (z1:Price)",bayesm,0.065,0.08,0.0891,0.0867,0.0973,0.1271,100.0
"Δ₁,₄ (z1:Price)",Replication,0.065,0.0798,0.0893,0.0871,0.0967,0.1284,100.0
"Δ₁,₄ (z1:Price)",NUTS,0.064,0.0815,0.0914,0.0895,0.0996,0.1434,100.0
"Δ₁,₄ (z1:Price)",HMC,0.0635,0.0808,0.0911,0.0899,0.0979,0.1386,100.0
"Δ₂,₁ (z2:Alt1)",bayesm,0.0778,0.1008,0.1142,0.1095,0.1238,0.2466,100.0
"Δ₂,₁ (z2:Alt1)",Replication,0.0767,0.1007,0.1138,0.1103,0.1246,0.2386,100.0
"Δ₂,₁ (z2:Alt1)",NUTS,0.0804,0.1045,0.12,0.1148,0.132,0.2523,100.0
"Δ₂,₁ (z2:Alt1)",HMC,0.0817,0.1038,0.1196,0.1135,0.1286,0.246,100.0
"Δ₂,₂ (z2:Alt2)",bayesm,0.0749,0.101,0.1166,0.1117,0.1274,0.1838,100.0
"Δ₂,₂ (z2:Alt2)",Replication,0.0745,0.1002,0.1166,0.1118,0.1272,0.1969,100.0
"Δ₂,₂ (z2:Alt2)",NUTS,0.0767,0.1052,0.1212,0.116,0.1311,0.2112,100.0
"Δ₂,₂ (z2:Alt2)",HMC,0.0746,0.1048,0.1208,0.1147,0.1325,0.2201,100.0
"Δ₂,₃ (z2:Alt3)",bayesm,0.0706,0.0971,0.1159,0.1085,0.1252,0.2334,100.0
"Δ₂,₃ (z2:Alt3)",Replication,0.0711,0.0977,0.1161,0.1096,0.1247,0.25,100.0
"Δ₂,₃ (z2:Alt3)",NUTS,0.079,0.0997,0.1197,0.1111,0.1296,0.2461,100.0
"Δ₂,₃ (z2:Alt3)",HMC,0.0719,0.1001,0.12,0.1099,0.1287,0.2643,100.0
"Δ₂,₄ (z2:Price)",bayesm,0.0609,0.0787,0.0885,0.0872,0.098,0.1289,100.0
"Δ₂,₄ (z2:Price)",Replication,0.0598,0.0791,0.0883,0.0867,0.0977,0.1264,100.0
"Δ₂,₄ (z2:Price)",NUTS,0.0609,0.0816,0.0911,0.0901,0.1002,0.1374,100.0
"Δ₂,₄ (z2:Price)",HMC,0.0615,0.0794,0.0906,0.0895,0.1002,0.1328,100.0
