param,sampler,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,0.424,0.7595,1.0627,0.8955,1.1197,4.0281,100.0
Alt1,NUTS,0.4027,0.7493,1.1863,0.9162,1.1838,5.6634,100.0
Alt1,HMC,0.4025,0.7394,1.0107,0.8517,1.0053,6.4039,100.0
Alt2,bayesm,0.5511,0.7968,1.0578,0.9308,1.1853,3.8486,100.0
Alt2,NUTS,0.551,0.7689,1.0784,0.8895,1.1164,3.3638,100.0
Alt2,HMC,0.545,0.7647,0.9197,0.871,1.0452,2.2484,100.0
Alt3,bayesm,0.4798,0.8039,1.0236,0.9318,1.0876,3.29,100.0
Alt3,NUTS,0.479,0.7708,1.0878,0.8787,1.1306,9.1711,100.0
Alt3,HMC,0.4787,0.7631,0.9453,0.8445,1.024,3.6554,100.0
Price,bayesm,0.3397,0.5613,0.8073,0.7135,0.9307,2.4228,100.0
Price,NUTS,0.3273,0.523,0.7534,0.6728,0.9061,1.8833,100.0
Price,HMC,0.3389,0.5264,0.7338,0.6744,0.8844,1.9518,100.0
