k_true,sampler,p_est1,p_est2,p_est3,p_est4,p_est5
1,bayesm,0.76,0.23,0.01,0.0,0.0
1,nuts,0.88,0.12,0.0,0.0,0.0
1,hmc,0.98,0.02,0.0,0.0,0.0
2,bayesm,0.02,0.83,0.14,0.01,0.0
2,nuts,0.03,0.93,0.04,0.0,0.0
2,hmc,0.07,0.93,0.0,0.0,0.0
3,bayesm,0.0,0.06,0.92,0.02,0.0
3,nuts,0.0,0.12,0.87,0.01,0.0
3,hmc,0.01,0.12,0.84,0.03,0.0
5,bayesm,0.0,0.0,0.04,0.25,0.71
5,nuts,0.0,0.0,0.09,0.46,0.45
5,hmc,0.0,0.01,0.12,0.56,0.31
