k_true,param,sampler,metric,min,q1,mean,median,q3,max,n_sim
1,Price,bayesm,TVD,0.01603,0.03686,0.06274,0.05232,0.07648,0.19641,100.0
1,Price,Replication,TVD,0.01347,0.03685,0.06397,0.05232,0.07584,0.18767,100.0
1,Price,NUTS,TVD,0.01231,0.03502,0.06402,0.05124,0.0804,0.22125,100.0
1,Price,HMC,TVD,0.01468,0.03358,0.06441,0.0516,0.07809,0.22458,100.0
2,Alt1,bayesm,Hellinger,0.0663,0.08705,0.13263,0.10938,0.14777,0.43362,100.0
2,Alt1,Replication,Hellinger,0.06483,0.08789,0.13221,0.10808,0.14431,0.49588,100.0
2,Alt1,NUTS,Hellinger,0.03568,0.08282,0.13953,0.11518,0.16515,0.61385,100.0
2,Alt1,HMC,Hellinger,0.0289,0.0883,0.14575,0.11406,0.17608,0.52455,100.0
2,Alt1,bayesm,KL,0.48754,,inf,inf,,inf,100.0
2,Alt1,Replication,KL,0.82646,,inf,inf,,inf,100.0
2,Alt1,NUTS,KL,0.25904,1.05075,inf,2.08479,,inf,100.0
2,Alt1,HMC,KL,0.20283,1.17684,inf,inf,,inf,100.0
2,Alt1,bayesm,JSD,0.00331,0.00626,0.01912,0.01044,0.01936,0.1558,100.0
2,Alt1,Replication,JSD,0.00312,0.00639,0.01923,0.01015,0.01841,0.19655,100.0
2,Alt1,NUTS,JSD,0.0009,0.00538,0.02418,0.01126,0.02417,0.29294,100.0
2,Alt1,HMC,JSD,0.00058,0.00651,0.02469,0.01144,0.0278,0.23273,100.0
2,Alt1,bayesm,TVD,0.02868,0.0565,0.10054,0.08549,0.12086,0.36741,100.0
2,Alt1,Replication,TVD,0.02652,0.05315,0.10104,0.08578,0.11802,0.41916,100.0
2,Alt1,NUTS,TVD,0.0026,0.03364,0.09829,0.06004,0.13057,0.62848,100.0
2,Alt1,HMC,TVD,0.00167,0.05781,0.11553,0.08944,0.14479,0.5827,100.0
2,Alt2,bayesm,Hellinger,0.06496,0.09151,0.13571,0.1118,0.156,0.40344,100.0
2,Alt2,Replication,Hellinger,0.06382,0.09248,0.13544,0.11052,0.15615,0.47287,100.0
2,Alt2,NUTS,Hellinger,0.04498,0.0866,0.14117,0.1084,0.1853,0.38945,100.0
2,Alt2,HMC,Hellinger,0.064,0.08863,0.13982,0.11132,0.17188,0.37342,100.0
2,Alt2,bayesm,KL,0.56352,,inf,inf,,inf,100.0
2,Alt2,Replication,KL,0.61793,,inf,inf,,inf,100.0
2,Alt2,NUTS,KL,0.24808,1.3443,inf,inf,,inf,100.0
2,Alt2,HMC,KL,0.32197,1.79287,inf,inf,,inf,100.0
2,Alt2,bayesm,JSD,0.0032,0.00679,0.01918,0.01072,0.0214,0.13885,100.0
2,Alt2,Replication,JSD,0.00312,0.00702,0.01958,0.01016,0.02107,0.18021,100.0
2,Alt2,NUTS,JSD,0.0014,0.00612,0.02242,0.01049,0.029,0.12078,100.0
2,Alt2,HMC,JSD,0.00299,0.00643,0.02148,0.01071,0.02582,0.11582,100.0
2,Alt2,bayesm,TVD,0.02656,0.05782,0.10238,0.08306,0.12553,0.34879,100.0
2,Alt2,Replication,TVD,0.02565,0.05912,0.10214,0.086,0.12256,0.39449,100.0
2,Alt2,NUTS,TVD,0.00404,0.05454,0.10979,0.08781,0.15421,0.33363,100.0
2,Alt2,HMC,TVD,0.0195,0.05634,0.10923,0.09046,0.13648,0.33282,100.0
2,Alt3,bayesm,Hellinger,0.06833,0.09246,0.13992,0.11578,0.15726,0.41453,100.0
2,Alt3,Replication,Hellinger,0.06403,0.09258,0.1379,0.11225,0.15034,0.43372,100.0
2,Alt3,NUTS,Hellinger,0.04507,0.08629,0.13778,0.11454,0.1534,0.55828,100.0
2,Alt3,HMC,Hellinger,0.05772,0.08982,0.13563,0.11312,0.15084,0.43753,100.0
2,Alt3,bayesm,KL,0.62766,,inf,inf,,inf,100.0
2,Alt3,Replication,KL,inf,,inf,inf,,inf,100.0
2,Alt3,NUTS,KL,0.13783,,inf,inf,,inf,100.0
2,Alt3,HMC,KL,0.62709,,inf,inf,,inf,100.0
