param,sampler,metric,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,Hellinger,0.05811,0.09264,0.13792,0.11675,0.15056,0.39345,100.0
Alt1,Replication,Hellinger,0.05536,0.0935,0.14009,0.11697,0.14794,0.43069,100.0
Alt1,NUTS,Hellinger,0.04483,0.09915,0.16292,0.1347,0.2046,0.54165,100.0
Alt1,HMC,Hellinger,0.05876,0.09447,0.16254,0.13584,0.17139,0.52495,100.0
Alt1,bayesm,KL,inf,,inf,inf,,inf,100.0
Alt1,Replication,KL,0.47004,,inf,inf,,inf,100.0
Alt1,NUTS,KL,0.34004,0.84716,inf,2.54795,,inf,100.0
Alt1,HMC,KL,0.32642,0.78192,inf,6.60888,,inf,100.0
Alt1,bayesm,JSD,0.00277,0.00702,0.02091,0.0119,0.02001,0.12459,100.0
Alt1,Replication,JSD,0.00265,0.00773,0.0216,0.01172,0.0191,0.14713,100.0
Alt1,NUTS,JSD,0.00142,0.00782,0.02958,0.01559,0.03756,0.22057,100.0
Alt1,HMC,JSD,0.00294,0.00809,0.03008,0.01594,0.02652,0.2077,100.0
Alt1,bayesm,TVD,0.02726,0.06886,0.10748,0.094,0.12554,0.32719,100.0
Alt1,Replication,TVD,0.02797,0.06989,0.10892,0.09316,0.12377,0.34943,100.0
Alt1,NUTS,TVD,0.00674,0.06117,0.1229,0.10536,0.16412,0.3905,100.0
Alt1,HMC,TVD,0.01652,0.07126,0.12874,0.11437,0.15758,0.40486,100.0
Alt2,bayesm,Hellinger,0.05142,0.09238,0.13349,0.11396,0.15022,0.44036,100.0
Alt2,Replication,Hellinger,0.0513,0.0957,0.13368,0.11608,0.15227,0.34649,100.0
Alt2,NUTS,Hellinger,0.06214,0.10021,0.15357,0.13244,0.17961,0.47575,100.0
Alt2,HMC,Hellinger,0.05104,0.10027,0.14723,0.12916,0.1695,0.50318,100.0
Alt2,bayesm,KL,0.34406,,inf,inf,,inf,100.0
Alt2,Replication,KL,inf,,inf,inf,,inf,100.0
Alt2,NUTS,KL,0.33542,1.80514,inf,inf,,inf,100.0
Alt2,HMC,KL,0.24195,,inf,inf,,inf,100.0
Alt2,bayesm,JSD,0.00217,0.00703,0.01897,0.01134,0.02018,0.15335,100.0
Alt2,Replication,JSD,0.00216,0.00765,0.0183,0.01154,0.02037,0.09844,100.0
Alt2,NUTS,JSD,0.00315,0.00882,0.02488,0.01589,0.02842,0.17216,100.0
Alt2,HMC,JSD,0.00228,0.00908,0.02327,0.01468,0.02608,0.19753,100.0
Alt2,bayesm,TVD,0.02746,0.0691,0.10781,0.09659,0.12825,0.33646,100.0
Alt2,Replication,TVD,0.0281,0.07086,0.10734,0.09639,0.12884,0.27099,100.0
Alt2,NUTS,TVD,0.03359,0.08006,0.1228,0.1036,0.14918,0.33438,100.0
Alt2,HMC,TVD,0.02487,0.08129,0.1205,0.10758,0.15018,0.39535,100.0
Alt3,bayesm,Hellinger,0.06389,0.09351,0.14211,0.11626,0.16076,0.44423,100.0
Alt3,Replication,Hellinger,0.06174,0.0951,0.14492,0.11394,0.1722,0.44921,100.0
Alt3,NUTS,Hellinger,0.06481,0.09329,0.15582,0.11888,0.18779,0.48809,100.0
Alt3,HMC,Hellinger,0.06149,0.09204,0.15346,0.1185,0.19221,0.43716,100.0
Alt3,bayesm,KL,0.73914,,inf,inf,,inf,100.0
Alt3,Replication,KL,inf,,inf,inf,,inf,100.0
Alt3,NUTS,KL,0.28562,,inf,inf,,inf,100.0
Alt3,HMC,KL,0.53287,,inf,inf,,inf,100.0
Alt3,bayesm,JSD,0.00345,0.00762,0.02237,0.01236,0.02286,0.15418,100.0
Alt3,Replication,JSD,0.00322,0.00774,0.02359,0.01196,0.02585,0.16177,100.0
Alt3,NUTS,JSD,0.00368,0.00788,0.02788,0.0125,0.03136,0.18712,100.0
Alt3,HMC,JSD,0.00325,0.00758,0.02709,0.01262,0.03184,0.15523,100.0
Alt3,bayesm,TVD,0.03301,0.07072,0.11468,0.09594,0.13011,0.34283,100.0
Alt3,Replication,TVD,0.03357,0.07437,0.1172,0.09449,0.13711,0.427,100.0
Alt3,NUTS,TVD,0.01748,0.07368,0.12806,0.10306,0.15823,0.42349,100.0
Alt3,HMC,TVD,0.0279,0.06968,0.12827,0.10082,0.1548,0.4304,100.0
