element,coverage_pct_bayesm,coverage_pct_Replication,coverage_pct_NUTS,coverage_pct_HMC,n_sim_bayesm,n_sim_Replication,n_sim_NUTS,n_sim_HMC
"Δ₁,₁ (z1:Alt1)",96.0,96.0,96.0,96.0,50.0,50.0,50.0,50.0
"Δ₁,₂ (z1:Alt2)",96.0,92.0,94.0,94.0,50.0,50.0,50.0,50.0
"Δ₁,₃ (z1:Alt3)",94.0,94.0,94.0,94.0,50.0,50.0,50.0,50.0
"Δ₁,₄ (z1:Price)",96.0,98.0,98.0,98.0,50.0,50.0,50.0,50.0
"Δ₂,₁ (z2:Alt1)",94.0,94.0,94.0,92.0,50.0,50.0,50.0,50.0
"Δ₂,₂ (z2:Alt2)",98.0,98.0,100.0,96.0,50.0,50.0,50.0,50.0
"Δ₂,₃ (z2:Alt3)",94.0,96.0,94.0,92.0,50.0,50.0,50.0,50.0
"Δ₂,₄ (z2:Price)",96.0,96.0,96.0,96.0,50.0,50.0,50.0,50.0
