param,sampler,metric,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,Hellinger,0.06832,0.08591,0.1347,0.09795,0.13862,0.28269,5.0
Alt1,Replication,Hellinger,0.06777,0.07296,0.14505,0.08336,0.13565,0.3655,5.0
Alt1,NUTS,Hellinger,0.09853,0.12315,0.18475,0.16073,0.17021,0.37114,5.0
Alt1,HMC,Hellinger,0.0943,0.16671,0.16407,0.16796,0.18984,0.20155,5.0
Alt1,bayesm,KL,0.02555,0.09276,0.64394,0.14423,0.14425,2.81292,5.0
Alt1,Replication,KL,0.02521,0.08684,1.26714,0.09381,0.19357,5.93626,5.0
Alt1,NUTS,KL,0.07376,0.24171,inf,0.43056,,inf,5.0
Alt1,HMC,KL,0.09324,0.22151,1.79874,0.41503,0.43753,7.82639,5.0
Alt1,bayesm,JSD,0.00441,0.00613,0.02003,0.00873,0.01752,0.06336,5.0
Alt1,Replication,JSD,0.00433,0.00476,0.02729,0.00642,0.01665,0.10431,5.0
Alt1,NUTS,JSD,0.00876,0.01331,0.03536,0.02278,0.02536,0.10658,5.0
Alt1,HMC,JSD,0.00811,0.02428,0.02445,0.02546,0.02758,0.03684,5.0
Alt1,bayesm,TVD,0.04574,0.05233,0.09739,0.08961,0.12495,0.17433,5.0
Alt1,Replication,TVD,0.04387,0.05205,0.10569,0.0828,0.12051,0.2292,5.0
Alt1,NUTS,TVD,0.06069,0.0997,0.13155,0.1272,0.13925,0.2309,5.0
Alt1,HMC,TVD,0.05905,0.12867,0.13319,0.13269,0.15294,0.19258,5.0
Alt1,bayesm,Wasserstein1,0.10543,0.19123,0.40538,0.31952,0.4779,0.93282,5.0
Alt1,Replication,Wasserstein1,0.10291,0.17103,0.49173,0.30352,0.4651,1.41611,5.0
Alt1,NUTS,Wasserstein1,0.17002,0.37827,1.57037,0.55543,0.56524,6.18288,5.0
Alt1,HMC,Wasserstein1,0.1898,0.51312,0.62828,0.56336,0.63605,1.23909,5.0
Alt2,bayesm,Hellinger,0.06682,0.07635,0.13785,0.0835,0.19832,0.26426,5.0
Alt2,Replication,Hellinger,0.06578,0.07834,0.13656,0.08427,0.18786,0.26657,5.0
Alt2,NUTS,Hellinger,0.08268,0.09864,0.15624,0.1036,0.20741,0.28886,5.0
