param,sampler,metric,min,q1,mean,median,q3,max,n_sim
Price,bayesm,Hellinger,0.05558,0.05874,0.06814,0.06591,0.0693,0.09116,5.0
Price,Replication,Hellinger,0.05622,0.05791,0.06555,0.06517,0.06579,0.08267,5.0
Price,NUTS,Hellinger,0.04035,0.05584,0.0658,0.06621,0.07618,0.09045,4.0
Price,HMC,Hellinger,0.05281,0.05707,0.06556,0.05955,0.06971,0.08866,5.0
Price,bayesm,KL,0.12122,0.12709,0.1612,0.15478,0.15599,0.24693,5.0
Price,Replication,KL,0.10736,0.12878,0.15705,0.13892,0.1539,0.25627,5.0
Price,NUTS,KL,0.03541,0.237,0.27703,0.30608,0.34612,0.46057,4.0
Price,HMC,KL,0.09931,0.20577,0.26177,0.26477,0.32219,0.4168,5.0
Price,bayesm,JSD,0.00243,0.00263,0.00386,0.00362,0.00381,0.00681,5.0
Price,Replication,JSD,0.0024,0.00262,0.00354,0.00351,0.00354,0.00564,5.0
Price,NUTS,JSD,0.00134,0.0024,0.00376,0.0035,0.00486,0.0067,4.0
Price,HMC,JSD,0.00217,0.0025,0.00353,0.0026,0.00407,0.00631,5.0
Price,bayesm,TVD,0.02802,0.02996,0.04125,0.04169,0.04217,0.06443,5.0
Price,Replication,TVD,0.02631,0.03019,0.04008,0.04142,0.043,0.0595,5.0
Price,NUTS,TVD,0.02381,0.02734,0.04148,0.03789,0.05203,0.06632,4.0
Price,HMC,TVD,0.0216,0.02827,0.03716,0.02947,0.0462,0.06024,5.0
Price,bayesm,Wasserstein1,0.05466,0.08567,0.11037,0.09265,0.14877,0.17012,5.0
Price,Replication,Wasserstein1,0.0546,0.08102,0.10861,0.09128,0.14997,0.1662,5.0
Price,NUTS,Wasserstein1,0.09763,0.1001,0.12976,0.10734,0.137,0.20672,4.0
Price,HMC,Wasserstein1,0.07371,0.08822,0.11593,0.10831,0.11916,0.19025,5.0
