param,coverage_pct_bayesm,coverage_pct_Replication,coverage_pct_NUTS,coverage_pct_HMC,n_sim_bayesm,n_sim_Replication,n_sim_NUTS,n_sim_HMC
Alt1,94.7,94.3,94.8,95.1,5.0,5.0,4.0,5.0
Alt2,94.8,94.5,95.1,95.1,5.0,5.0,4.0,5.0
Alt3,94.7,94.5,94.7,95.2,5.0,5.0,4.0,5.0
Price,94.7,94.7,94.4,94.8,5.0,5.0,4.0,5.0
