param,coverage_pct_bayesm,coverage_pct_Replication,coverage_pct_NUTS,coverage_pct_HMC,n_sim_bayesm,n_sim_Replication,n_sim_NUTS,n_sim_HMC
Alt1,95.5,95.4,95.8,95.5,100.0,100.0,100.0,100.0
Alt2,95.3,95.4,95.8,95.7,100.0,100.0,100.0,100.0
Alt3,95.1,95.1,95.6,95.2,100.0,100.0,100.0,100.0
Price,95.4,95.5,95.6,95.5,100.0,100.0,100.0,100.0
