k_true,element,sampler,min,q1,mean,median,q3,max,n_sim
2,"Δ₂,₂ (z2:Alt2)",Replication,0.007,0.0545,0.1079,0.1011,0.1558,0.2754,50.0
2,"Δ₂,₂ (z2:Alt2)",NUTS,0.0094,0.0572,0.1107,0.1024,0.1554,0.3703,50.0
2,"Δ₂,₂ (z2:Alt2)",HMC,0.007,0.0625,0.1101,0.1125,0.1588,0.309,50.0
2,"Δ₂,₃ (z2:Alt3)",bayesm,0.0033,0.0525,0.0923,0.0823,0.1303,0.2738,50.0
2,"Δ₂,₃ (z2:Alt3)",Replication,0.0001,0.0486,0.0916,0.0796,0.1253,0.2817,50.0
2,"Δ₂,₃ (z2:Alt3)",NUTS,0.0005,0.0507,0.093,0.0784,0.1294,0.2936,50.0
2,"Δ₂,₃ (z2:Alt3)",HMC,0.0001,0.0434,0.0907,0.0754,0.1198,0.2876,50.0
2,"Δ₂,₄ (z2:Price)",bayesm,0.0,0.032,0.0679,0.0544,0.0955,0.198,50.0
2,"Δ₂,₄ (z2:Price)",Replication,0.0023,0.0327,0.0686,0.0545,0.0961,0.2034,50.0
2,"Δ₂,₄ (z2:Price)",NUTS,0.0006,0.0337,0.0695,0.056,0.0964,0.2178,50.0
2,"Δ₂,₄ (z2:Price)",HMC,0.0007,0.0324,0.0683,0.0623,0.0969,0.2181,50.0
3,"Δ₁,₁ (z1:Alt1)",bayesm,0.0008,0.0384,0.0907,0.0729,0.1321,0.3301,50.0
3,"Δ₁,₁ (z1:Alt1)",Replication,0.0025,0.0342,0.0912,0.0803,0.1279,0.3292,50.0
3,"Δ₁,₁ (z1:Alt1)",NUTS,0.0076,0.0333,0.0931,0.0802,0.1213,0.3406,50.0
3,"Δ₁,₁ (z1:Alt1)",HMC,0.0009,0.0312,0.0943,0.0706,0.1278,0.3387,50.0
3,"Δ₁,₂ (z1:Alt2)",bayesm,0.0001,0.0396,0.0967,0.0731,0.1343,0.3646,50.0
3,"Δ₁,₂ (z1:Alt2)",Replication,0.003,0.0462,0.0996,0.077,0.1305,0.3275,50.0
3,"Δ₁,₂ (z1:Alt2)",NUTS,0.0026,0.0377,0.0986,0.0745,0.1433,0.3534,50.0
3,"Δ₁,₂ (z1:Alt2)",HMC,0.0006,0.0386,0.0986,0.0722,0.1389,0.3504,50.0
3,"Δ₁,₃ (z1:Alt3)",bayesm,0.0012,0.0378,0.095,0.0834,0.1226,0.3094,50.0
3,"Δ₁,₃ (z1:Alt3)",Replication,0.0051,0.0465,0.0967,0.0865,0.1114,0.3098,50.0
3,"Δ₁,₃ (z1:Alt3)",NUTS,0.0009,0.0409,0.0971,0.0839,0.1166,0.374,50.0
3,"Δ₁,₃ (z1:Alt3)",HMC,0.0045,0.0368,0.0962,0.0852,0.1339,0.3775,50.0
3,"Δ₁,₄ (z1:Price)",bayesm,0.0019,0.0311,0.0839,0.0807,0.1245,0.2243,50.0
3,"Δ₁,₄ (z1:Price)",Replication,0.0012,0.0339,0.0841,0.0826,0.1292,0.241,50.0
3,"Δ₁,₄ (z1:Price)",NUTS,0.0037,0.0365,0.0881,0.0796,0.1345,0.2428,50.0
3,"Δ₁,₄ (z1:Price)",HMC,0.0095,0.0374,0.0872,0.0835,0.1224,0.2449,50.0
3,"Δ₂,₁ (z2:Alt1)",bayesm,0.0046,0.0349,0.0783,0.0682,0.1172,0.184,50.0
3,"Δ₂,₁ (z2:Alt1)",Replication,0.0005,0.0386,0.0796,0.066,0.1187,0.1829,50.0
3,"Δ₂,₁ (z2:Alt1)",NUTS,0.002,0.0405,0.0796,0.0719,0.1177,0.1744,50.0
3,"Δ₂,₁ (z2:Alt1)",HMC,0.0003,0.0413,0.0813,0.0801,0.1107,0.2225,50.0
3,"Δ₂,₂ (z2:Alt2)",bayesm,0.0034,0.0681,0.1226,0.1184,0.1664,0.3215,50.0
3,"Δ₂,₂ (z2:Alt2)",Replication,0.0061,0.074,0.1256,0.1234,0.1662,0.4061,50.0
3,"Δ₂,₂ (z2:Alt2)",NUTS,0.0087,0.0715,0.1251,0.1184,0.1869,0.3434,50.0
3,"Δ₂,₂ (z2:Alt2)",HMC,0.0082,0.0689,0.1189,0.1191,0.1629,0.327,50.0
