element,sampler,min,q1,mean,median,q3,max,n_sim
"Δ₁,₁ (z1:Alt1)",bayesm,0.0061,0.0553,0.0992,0.0807,0.1258,0.3248,50.0
"Δ₁,₁ (z1:Alt1)",Replication,0.0013,0.0561,0.1,0.0904,0.1245,0.3674,50.0
"Δ₁,₁ (z1:Alt1)",NUTS,0.0116,0.0478,0.1059,0.0907,0.1369,0.3961,50.0
"Δ₁,₁ (z1:Alt1)",HMC,0.0123,0.052,0.1025,0.0869,0.1294,0.3215,50.0
"Δ₁,₂ (z1:Alt2)",bayesm,0.0159,0.0539,0.1073,0.0882,0.1617,0.2778,50.0
"Δ₁,₂ (z1:Alt2)",Replication,0.0024,0.0497,0.111,0.0945,0.1612,0.2917,50.0
"Δ₁,₂ (z1:Alt2)",NUTS,0.0016,0.0512,0.108,0.0911,0.161,0.2883,50.0
"Δ₁,₂ (z1:Alt2)",HMC,0.002,0.0579,0.1153,0.1048,0.1705,0.2966,50.0
"Δ₁,₃ (z1:Alt3)",bayesm,0.005,0.0461,0.0859,0.076,0.1106,0.3065,50.0
"Δ₁,₃ (z1:Alt3)",Replication,0.0007,0.0393,0.0862,0.0728,0.1057,0.2979,50.0
"Δ₁,₃ (z1:Alt3)",NUTS,0.0003,0.0303,0.084,0.0777,0.1068,0.3071,50.0
"Δ₁,₃ (z1:Alt3)",HMC,0.0016,0.0325,0.0843,0.072,0.1097,0.3142,50.0
"Δ₁,₄ (z1:Price)",bayesm,0.0049,0.0368,0.075,0.075,0.111,0.2043,50.0
"Δ₁,₄ (z1:Price)",Replication,0.0013,0.0358,0.075,0.0764,0.1042,0.1987,50.0
"Δ₁,₄ (z1:Price)",NUTS,0.0026,0.0371,0.0758,0.0715,0.1071,0.2153,50.0
"Δ₁,₄ (z1:Price)",HMC,0.0014,0.0404,0.0796,0.0736,0.1193,0.2003,50.0
"Δ₂,₁ (z2:Alt1)",bayesm,0.002,0.0381,0.1065,0.069,0.1662,0.3594,50.0
"Δ₂,₁ (z2:Alt1)",Replication,0.0012,0.0483,0.1089,0.0795,0.1656,0.3551,50.0
"Δ₂,₁ (z2:Alt1)",NUTS,0.0002,0.0336,0.1097,0.0737,0.1723,0.3666,50.0
"Δ₂,₁ (z2:Alt1)",HMC,0.0049,0.0423,0.1146,0.0819,0.1718,0.3736,50.0
"Δ₂,₂ (z2:Alt2)",bayesm,0.0002,0.0533,0.1142,0.0945,0.1635,0.2992,50.0
"Δ₂,₂ (z2:Alt2)",Replication,0.0016,0.0625,0.1135,0.0993,0.1689,0.2933,50.0
"Δ₂,₂ (z2:Alt2)",NUTS,0.0066,0.0569,0.1203,0.1107,0.1679,0.3631,50.0
"Δ₂,₂ (z2:Alt2)",HMC,0.0006,0.058,0.1198,0.11,0.1632,0.3651,50.0
"Δ₂,₃ (z2:Alt3)",bayesm,0.0027,0.0286,0.089,0.0638,0.1396,0.3188,50.0
"Δ₂,₃ (z2:Alt3)",Replication,0.0023,0.0296,0.091,0.0717,0.1348,0.3208,50.0
"Δ₂,₃ (z2:Alt3)",NUTS,0.0041,0.0216,0.0905,0.0686,0.1298,0.3088,50.0
"Δ₂,₃ (z2:Alt3)",HMC,0.0004,0.0305,0.0927,0.0702,0.1364,0.329,50.0
"Δ₂,₄ (z2:Price)",bayesm,0.0021,0.0364,0.0753,0.0571,0.1059,0.21,50.0
"Δ₂,₄ (z2:Price)",Replication,0.0011,0.0384,0.0757,0.0566,0.1023,0.213,50.0
"Δ₂,₄ (z2:Price)",NUTS,0.0002,0.0332,0.0787,0.0639,0.1102,0.2165,50.0
"Δ₂,₄ (z2:Price)",HMC,0.0064,0.0302,0.0767,0.0641,0.1009,0.2621,50.0
