dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,Hellinger,KL,JSD,TVD,Wasserstein1
kt1_s12,1comp,1,12,5,nuts,2,Alt1,0.05532,0.01599,0.00294,0.04628,0.10144
kt1_s12,1comp,1,12,5,nuts,2,Alt2,0.06919,0.01817,0.00475,0.07064,0.18006
kt1_s12,1comp,1,12,5,nuts,2,Alt3,0.03693,0.00577,0.00134,0.0383,0.0637
kt1_s12,1comp,1,12,5,nuts,2,Price,0.08829,0.038,0.00758,0.08859,0.24195
kt1_s13,1comp,1,13,5,nuts,2,Alt1,0.05587,0.01222,0.00311,0.06188,0.13959
kt1_s13,1comp,1,13,5,nuts,2,Alt2,0.03725,0.00593,0.00137,0.03933,0.12459
kt1_s13,1comp,1,13,5,nuts,2,Alt3,0.08641,0.0291,0.00742,0.09642,0.17899
kt1_s13,1comp,1,13,5,nuts,2,Price,0.02441,0.00265,0.00058,0.02442,0.05623
kt1_s14,1comp,1,14,5,nuts,2,Alt1,0.30278,0.64515,0.08277,0.3104,1.00997
kt1_s14,1comp,1,14,5,nuts,2,Alt2,0.23376,0.31261,0.05121,0.24105,0.95627
kt1_s14,1comp,1,14,5,nuts,2,Alt3,0.30326,0.64541,0.08335,0.31485,1.07276
kt1_s14,1comp,1,14,5,nuts,2,Price,0.02323,0.00254,0.00052,0.0205,0.05426
kt1_s15,1comp,1,15,5,nuts,2,Alt1,0.02771,0.0047,0.0007,0.02011,0.05534
kt1_s15,1comp,1,15,5,nuts,2,Alt2,0.03197,0.00559,0.00097,0.02574,0.05578
kt1_s15,1comp,1,15,5,nuts,2,Alt3,0.04767,0.01304,0.00214,0.03446,0.07269
kt1_s15,1comp,1,15,5,nuts,2,Price,0.02268,0.00306,0.00047,0.01192,0.03398
kt1_s16,1comp,1,16,5,nuts,2,Alt1,0.08206,0.03517,0.00646,0.06996,0.17101
kt1_s16,1comp,1,16,5,nuts,2,Alt2,0.23447,1.18486,0.04499,0.18177,0.83101
kt1_s16,1comp,1,16,5,nuts,2,Alt3,0.03639,0.00793,0.00123,0.02375,0.0702
kt1_s16,1comp,1,16,5,nuts,2,Price,0.06064,0.01904,0.00353,0.05617,0.13947
kt1_s17,1comp,1,17,5,nuts,2,Alt1,0.02371,0.00292,0.00053,0.01937,0.06777
kt1_s17,1comp,1,17,5,nuts,2,Alt2,0.03519,0.00577,0.0012,0.03315,0.08269
kt1_s17,1comp,1,17,5,nuts,2,Alt3,0.06969,0.02591,0.00465,0.05908,0.11345
kt1_s17,1comp,1,17,5,nuts,2,Price,0.05165,0.01398,0.00255,0.04251,0.11217
kt1_s18,1comp,1,18,5,nuts,2,Alt1,0.13586,0.1348,0.01656,0.10746,0.38761
kt1_s18,1comp,1,18,5,nuts,2,Alt2,0.17303,0.20063,0.02743,0.15583,0.26782
kt1_s18,1comp,1,18,5,nuts,2,Alt3,0.05498,0.01267,0.00299,0.06196,0.1029
kt1_s18,1comp,1,18,5,nuts,2,Price,0.22616,0.53807,0.04389,0.192,0.43679
kt1_s19,1comp,1,19,5,nuts,2,Alt1,0.06693,0.03902,0.00397,0.03058,0.09807
kt1_s19,1comp,1,19,5,nuts,2,Alt2,0.12074,0.06598,0.01427,0.13099,0.32672
kt1_s19,1comp,1,19,5,nuts,2,Alt3,0.22345,0.28337,0.047,0.22502,0.83994
kt1_s19,1comp,1,19,5,nuts,2,Price,0.09944,0.06057,0.00928,0.08423,0.2046
kt1_s20,1comp,1,20,5,nuts,2,Alt1,0.03151,0.00551,0.00093,0.01961,0.04992
kt1_s20,1comp,1,20,5,nuts,2,Alt2,0.03579,0.00707,0.00121,0.02688,0.06843
kt1_s20,1comp,1,20,5,nuts,2,Alt3,0.02577,0.0039,0.00061,0.0133,0.03941
kt1_s20,1comp,1,20,5,nuts,2,Price,0.03803,0.00851,0.00134,0.02465,0.06641
kt1_s21,1comp,1,21,5,nuts,2,Alt1,0.07706,0.02243,0.0059,0.08086,0.13241
kt1_s21,1comp,1,21,5,nuts,2,Alt2,0.39523,1.58539,0.13391,0.40133,1.28767
kt1_s21,1comp,1,21,5,nuts,2,Alt3,0.08938,0.03818,0.00779,0.09081,0.28846
kt1_s21,1comp,1,21,5,nuts,2,Price,0.02195,0.00274,0.00045,0.01505,0.02745
kt1_s22,1comp,1,22,5,nuts,2,Alt1,0.11023,0.06572,0.01169,0.11016,0.36413
kt1_s22,1comp,1,22,5,nuts,2,Alt2,0.09837,0.12221,0.00818,0.05233,0.17797
kt1_s22,1comp,1,22,5,nuts,2,Alt3,0.20529,0.41376,0.03704,0.17796,0.5255
kt1_s22,1comp,1,22,5,nuts,2,Price,0.06692,0.02864,0.00409,0.04555,0.1114
kt1_s23,1comp,1,23,5,nuts,2,Alt1,0.05771,0.01465,0.00325,0.0582,0.11433
kt1_s23,1comp,1,23,5,nuts,2,Alt2,0.07283,0.0264,0.00512,0.06809,0.22273
kt1_s23,1comp,1,23,5,nuts,2,Alt3,0.10623,0.06088,0.01077,0.09702,0.1749
kt1_s23,1comp,1,23,5,nuts,2,Price,0.02706,0.00497,0.00065,0.01191,0.02274
kt1_s24,1comp,1,24,5,nuts,2,Alt1,0.12882,0.09603,0.01565,0.11627,0.29809
kt1_s24,1comp,1,24,5,nuts,2,Alt2,0.04805,0.00909,0.0023,0.05042,0.11525
kt1_s24,1comp,1,24,5,nuts,2,Alt3,0.04687,0.01178,0.0021,0.03543,0.06072
kt1_s24,1comp,1,24,5,nuts,2,Price,0.04784,0.00997,0.00225,0.0519,0.12654
kt1_s25,1comp,1,25,5,nuts,2,Alt1,0.07247,0.02053,0.0052,0.07574,0.13978
kt1_s25,1comp,1,25,5,nuts,2,Alt2,0.06866,0.02913,0.00438,0.05395,0.17641
kt1_s25,1comp,1,25,5,nuts,2,Alt3,0.12471,0.09856,0.01454,0.11124,0.28586
kt1_s25,1comp,1,25,5,nuts,2,Price,0.08456,0.04009,0.00681,0.07742,0.29373
kt1_s26,1comp,1,26,5,nuts,2,Alt1,0.05758,0.01558,0.00324,0.05321,0.08495
kt1_s26,1comp,1,26,5,nuts,2,Alt2,0.06369,0.01947,0.00395,0.0571,0.10164
kt1_s26,1comp,1,26,5,nuts,2,Alt3,0.06731,0.02245,0.00439,0.05935,0.10111
kt1_s26,1comp,1,26,5,nuts,2,Price,0.05669,0.01475,0.00315,0.052,0.07159
kt1_s27,1comp,1,27,5,nuts,2,Alt1,0.03994,0.00663,0.00158,0.04214,0.07014
kt1_s27,1comp,1,27,5,nuts,2,Alt2,0.11212,0.04904,0.01243,0.12416,0.33656
kt1_s27,1comp,1,27,5,nuts,2,Alt3,0.25053,0.44254,0.05696,0.24696,0.61874
kt1_s27,1comp,1,27,5,nuts,2,Price,0.02959,0.00371,0.00086,0.02834,0.05633
kt1_s28,1comp,1,28,5,nuts,2,Alt1,0.10482,0.05955,0.01049,0.09347,0.14767
kt1_s28,1comp,1,28,5,nuts,2,Alt2,0.26849,0.52303,0.06453,0.26155,0.53532
kt1_s28,1comp,1,28,5,nuts,2,Alt3,0.03519,0.006,0.0012,0.03308,0.08774
kt1_s28,1comp,1,28,5,nuts,2,Price,0.16426,0.13696,0.02591,0.16987,0.40893
kt1_s29,1comp,1,29,5,nuts,2,Alt1,0.03599,0.00674,0.00124,0.02758,0.08016
kt1_s29,1comp,1,29,5,nuts,2,Alt2,0.04021,0.00783,0.00157,0.03839,0.09982
kt1_s29,1comp,1,29,5,nuts,2,Alt3,0.02488,0.00347,0.00058,0.01672,0.04136
kt1_s29,1comp,1,29,5,nuts,2,Price,0.06066,0.0203,0.00349,0.04997,0.11741
kt1_s30,1comp,1,30,5,nuts,2,Alt1,0.04521,0.01004,0.00198,0.0379,0.07783
kt1_s30,1comp,1,30,5,nuts,2,Alt2,0.03606,0.00524,0.00129,0.03697,0.09155
kt1_s30,1comp,1,30,5,nuts,2,Alt3,0.17997,0.25398,0.02906,0.15599,0.3542
kt1_s30,1comp,1,30,5,nuts,2,Price,0.13857,0.07807,0.01891,0.15325,0.39634
kt1_s31,1comp,1,31,5,nuts,2,Alt1,0.03078,0.00433,0.00092,0.02799,0.05526
kt1_s31,1comp,1,31,5,nuts,2,Alt2,0.05489,0.01563,0.00289,0.0459,0.0797
kt1_s31,1comp,1,31,5,nuts,2,Alt3,0.06258,0.01544,0.00389,0.06688,0.19261
kt1_s31,1comp,1,31,5,nuts,2,Price,0.02332,0.00239,0.00053,0.02133,0.0596
kt1_s32,1comp,1,32,5,nuts,2,Alt1,0.08471,0.03462,0.00695,0.08866,0.27975
kt1_s32,1comp,1,32,5,nuts,2,Alt2,0.08563,0.06839,0.00651,0.05888,0.15008
