dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,demo,param,post_mean,post_std,ci_low,ci_high,true_value,bias,in_ci
kt1_s01,1comp,1,1,5,nuts,1,z1,Alt1,-0.6235920190811157,0.1010008379817009,-0.8245941027998924,-0.4275574512779714,-0.5364821393558225,-0.0871098797252932,True
kt1_s01,1comp,1,1,5,nuts,1,z1,Alt2,0.2319730520248413,0.1283670365810394,-0.0167376645840704,0.4851963751018046,0.2475793056001582,-0.0156062535753169,True
kt1_s01,1comp,1,1,5,nuts,1,z1,Alt3,-0.5291768908500671,0.1027544289827346,-0.7331809043884278,-0.3338155344128609,-0.4760310503531295,-0.0531458404969376,True
kt1_s01,1comp,1,1,5,nuts,1,z1,Price,-0.3295535743236542,0.072109043598175,-0.4684499628841876,-0.1875563371926546,-0.2590727761993774,-0.0704807981242767,True
kt1_s01,1comp,1,1,5,nuts,1,z2,Alt1,-0.8023787140846252,0.0925674885511398,-0.9868171200156212,-0.6210554525256158,-0.7307018023610531,-0.0716769117235721,True
kt1_s01,1comp,1,1,5,nuts,1,z2,Alt2,-0.302664965391159,0.1165328547358512,-0.5303292214870453,-0.0736338887363672,-0.2581739543230111,-0.0444910110681479,True
kt1_s01,1comp,1,1,5,nuts,1,z2,Alt3,0.1429897248744964,0.0958283543586731,-0.0412774483673274,0.3340869322419166,0.1755584482554826,-0.0325687233809862,True
kt1_s01,1comp,1,1,5,nuts,1,z2,Price,-0.077527143061161,0.068299300968647,-0.2093860492110252,0.0544717084616422,-0.0343852315393192,-0.0431419115218418,True
kt1_s02,1comp,1,2,5,nuts,1,z1,Alt1,0.4506589770317077,0.1052270829677581,0.2427429269999265,0.6604064598679542,0.3018357303013135,0.1488232467303942,True
kt1_s02,1comp,1,2,5,nuts,1,z1,Alt2,-0.0493683516979217,0.107946440577507,-0.2611525200307369,0.1614348791539668,-0.0398067260109982,-0.0095616256869234,True
kt1_s02,1comp,1,2,5,nuts,1,z1,Alt3,-0.0887405052781105,0.0851518735289573,-0.254743953794241,0.0734985638409853,-0.1056363457145037,0.0168958404363932,True
kt1_s02,1comp,1,2,5,nuts,1,z1,Price,-0.8584201335906982,0.0537318252027034,-0.9638004273176192,-0.7554557934403421,-0.8288673722166138,-0.0295527613740844,True
kt1_s02,1comp,1,2,5,nuts,1,z2,Alt1,-0.8957512974739075,0.1105318441987037,-1.1150773465633392,-0.6843074172735214,-0.7505200449037671,-0.1452312525701403,True
