dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog,mean_acceptance
kt1_s08,1comp,1,8,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,427,0.0427,6.0,3.933,0.0,47.0,14.6413,0.79140305519104
kt1_s08,1comp,1,8,5,nuts,1,mu_k,kernel_02,0,0.0,10.0,7.0381,0.0096,1023.0,154.1532,0.9622242450714112
kt1_s08,1comp,1,8,5,nuts,1,Delta,kernel_03,0,0.0,6.0,3.1344,0.0,47.0,8.2978,0.88507080078125
kt1_s08,1comp,1,8,5,nuts,1,beta_i,kernel_04,0,0.0,10.0,7.2622,0.0028,1023.0,162.2768,0.9628734588623048
kt1_s09,1comp,1,9,5,nuts,1,pvec_latent,kernel_00,0,0.0,6.0,2.8381,0.0,47.0,6.4184,0.918070912361145
kt1_s09,1comp,1,9,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,389,0.0389,5.0,3.9383,0.0,31.0,14.5602,0.8046606183052063
kt1_s09,1comp,1,9,5,nuts,1,mu_k,kernel_02,737,0.0737,9.0,4.7644,0.0,447.0,35.391,0.6835999488830566
kt1_s09,1comp,1,9,5,nuts,1,Delta,kernel_03,0,0.0,5.0,3.1631,0.0,31.0,8.3718,0.933344542980194
kt1_s09,1comp,1,9,5,nuts,1,beta_i,kernel_04,0,0.0,9.0,5.8742,0.0,319.0,59.24,0.9258028268814088
kt1_s10,1comp,1,10,5,nuts,1,pvec_latent,kernel_00,0,0.0,5.0,2.9056,0.0,31.0,6.8032,0.9317703247070312
kt1_s10,1comp,1,10,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,397,0.0397,6.0,3.9404,0.0,47.0,14.5706,0.8449763655662537
kt1_s10,1comp,1,10,5,nuts,1,mu_k,kernel_02,137,0.0137,9.0,4.8207,0.0,351.0,31.7672,0.8338026404380798
kt1_s10,1comp,1,10,5,nuts,1,Delta,kernel_03,0,0.0,4.0,2.8427,0.0,15.0,6.3784,0.8712436556816101
kt1_s10,1comp,1,10,5,nuts,1,beta_i,kernel_04,0,0.0,7.0,4.6137,0.0,127.0,24.8272,0.8567422032356262
kt1_s11,1comp,1,11,5,nuts,1,pvec_latent,kernel_00,0,0.0,10.0,10.0,1.0,1023.0,1023.0,0.8506234288215637
kt1_s11,1comp,1,11,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,267,0.0267,5.0,3.9692,0.0,31.0,14.7673,0.8056265711784363
kt1_s11,1comp,1,11,5,nuts,1,mu_k,kernel_02,95,0.0095,9.0,5.2902,0.0,383.0,43.352,0.862274706363678
kt1_s11,1comp,1,11,5,nuts,1,Delta,kernel_03,0,0.0,4.0,2.9401,0.0,15.0,6.7638,0.9153725504875184
kt1_s11,1comp,1,11,5,nuts,1,beta_i,kernel_04,0,0.0,6.0,5.0048,0.0,63.0,31.1536,0.859991192817688
kt1_s12,1comp,1,12,5,nuts,1,pvec_latent,kernel_00,417,0.0417,5.0,2.6931,0.0,30.0,5.778,0.7643306851387024
