dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,kind,n_pts,min_ESS,mean_ESS,max_Rhat,mean_Rhat,ESS,Rhat
kt1_s04,1comp,1,4,5,nuts,2,Alt3,moment_Mean,,,,,,948.1656632948198,1.001028340956591
kt1_s04,1comp,1,4,5,nuts,2,Alt3,moment_Var,,,,,,609.2582245509793,1.0066627062507765
kt1_s04,1comp,1,4,5,nuts,2,Price,moment_Mean,,,,,,356.62319625356275,1.009149342970458
kt1_s04,1comp,1,4,5,nuts,2,Price,moment_Var,,,,,,265.015382432389,1.0091249459411653
kt1_s05,1comp,1,5,5,nuts,2,Alt1,density,21.0,348.34440059561825,407.8968188225698,1.0074260893835478,1.0051342006105548,,
kt1_s05,1comp,1,5,5,nuts,2,Alt2,density,26.0,3967.241186755035,5902.275315020898,1.0009409561515927,1.0003950774915715,,
kt1_s05,1comp,1,5,5,nuts,2,Alt3,density,22.0,482.4516279957329,657.4959142448366,1.003718855919993,1.001382545207745,,
kt1_s05,1comp,1,5,5,nuts,2,Price,density,25.0,1095.913525336759,2322.612146732159,1.0011908533114786,1.000711395569537,,
kt1_s05,1comp,1,5,5,nuts,2,Alt1,moment_Mean,,,,,,1265.5383868860986,1.0003649341109182
kt1_s05,1comp,1,5,5,nuts,2,Alt1,moment_Var,,,,,,3798.330314623447,1.0003757751366078
kt1_s05,1comp,1,5,5,nuts,2,Alt2,moment_Mean,,,,,,7997.373517447466,1.0000453589722846
kt1_s05,1comp,1,5,5,nuts,2,Alt2,moment_Var,,,,,,3138.672892246084,1.0002536382300398
kt1_s05,1comp,1,5,5,nuts,2,Alt3,moment_Mean,,,,,,1791.7128012470846,1.0004855242174089
kt1_s05,1comp,1,5,5,nuts,2,Alt3,moment_Var,,,,,,3647.2539993577807,1.0005627218624686
kt1_s05,1comp,1,5,5,nuts,2,Price,moment_Mean,,,,,,4634.892423806011,1.0002797776944763
kt1_s05,1comp,1,5,5,nuts,2,Price,moment_Var,,,,,,5262.443677736512,1.0012832980487654
kt1_s06,1comp,1,6,5,nuts,2,Alt1,density,24.0,71.20173522382397,428.7628126648529,1.0301766494147926,1.012655704714116,,
kt1_s06,1comp,1,6,5,nuts,2,Alt2,density,25.0,24.86504288131961,550.7042029239145,1.060469893945731,1.0261868981882811,,
kt1_s06,1comp,1,6,5,nuts,2,Alt3,density,21.0,213.33481591827564,338.6858097280334,1.0144793570334325,1.0051566539441854,,
kt1_s06,1comp,1,6,5,nuts,2,Price,density,25.0,66.1531665959338,767.3217604061034,1.0231779300832509,1.0107200770230405,,
kt1_s06,1comp,1,6,5,nuts,2,Alt1,moment_Mean,,,,,,101.38662041260606,1.0199324178630942
kt1_s06,1comp,1,6,5,nuts,2,Alt1,moment_Var,,,,,,35.61332791348983,1.0422412713880893
kt1_s06,1comp,1,6,5,nuts,2,Alt2,moment_Mean,,,,,,26.280217481246638,1.0504941764739817
kt1_s06,1comp,1,6,5,nuts,2,Alt2,moment_Var,,,,,,295.65873545833983,1.01053200619387
kt1_s06,1comp,1,6,5,nuts,2,Alt3,moment_Mean,,,,,,246.5039297010929,1.0214557018508887
kt1_s06,1comp,1,6,5,nuts,2,Alt3,moment_Var,,,,,,44.88586599498036,1.039392146361085
kt1_s06,1comp,1,6,5,nuts,2,Price,moment_Mean,,,,,,72.95135522906085,1.021091944824075
kt1_s06,1comp,1,6,5,nuts,2,Price,moment_Var,,,,,,40.73709558098351,1.0400400201670017
kt1_s07,1comp,1,7,5,nuts,2,Alt1,density,25.0,1493.9034847287312,2669.5271269311474,1.0028403606346636,1.0013136975797492,,
kt1_s07,1comp,1,7,5,nuts,2,Alt2,density,24.0,1019.1181030946026,1698.970639291187,1.0027165651832766,1.0011822699382609,,
kt1_s07,1comp,1,7,5,nuts,2,Alt3,density,23.0,458.9580274274,640.6766814505083,1.0034138182496397,1.0021696698879654,,
kt1_s07,1comp,1,7,5,nuts,2,Price,density,26.0,828.1204956744502,3761.696977741477,1.0039920005296856,1.0012631816751385,,
kt1_s07,1comp,1,7,5,nuts,2,Alt1,moment_Mean,,,,,,1260.3226507120953,1.0042745641099586
kt1_s07,1comp,1,7,5,nuts,2,Alt1,moment_Var,,,,,,257.50910404565354,1.0087046918322402
kt1_s07,1comp,1,7,5,nuts,2,Alt2,moment_Mean,,,,,,51.43624168398605,1.0364364575432097
kt1_s07,1comp,1,7,5,nuts,2,Alt2,moment_Var,,,,,,288.77845765558646,1.0039594541218722
kt1_s07,1comp,1,7,5,nuts,2,Alt3,moment_Mean,,,,,,74.30195104405473,1.0281463098026735
kt1_s07,1comp,1,7,5,nuts,2,Alt3,moment_Var,,,,,,724.2048616001184,1.0064931599561846
kt1_s07,1comp,1,7,5,nuts,2,Price,moment_Mean,,,,,,114.3615103855327,1.017253087845238
kt1_s07,1comp,1,7,5,nuts,2,Price,moment_Var,,,,,,343.8515656296668,1.0086372023964396
kt1_s08,1comp,1,8,5,nuts,2,Alt1,density,21.0,4.875318390787102,39.25281101813796,1.3381191206169862,1.1650069339509852,,
kt1_s08,1comp,1,8,5,nuts,2,Alt2,density,21.0,22.851246368777417,139.16221540029514,1.0692896027229792,1.0448514667639934,,
kt1_s08,1comp,1,8,5,nuts,2,Alt3,density,21.0,8.360699855254827,72.11148556693982,1.174685554555678,1.0840162189717293,,
kt1_s08,1comp,1,8,5,nuts,2,Price,density,25.0,4.630722937105743,233.34272313488304,1.3542175067584452,1.1550885360131986,,
kt1_s08,1comp,1,8,5,nuts,2,Alt1,moment_Mean,,,,,,4.34292778894168,1.3844935078465694
kt1_s08,1comp,1,8,5,nuts,2,Alt1,moment_Var,,,,,,129.1185904621282,1.0263742804709508
kt1_s08,1comp,1,8,5,nuts,2,Alt2,moment_Mean,,,,,,8.824175654363893,1.1526703568691306
kt1_s08,1comp,1,8,5,nuts,2,Alt2,moment_Var,,,,,,24.767403801318544,1.0600014291616775
kt1_s08,1comp,1,8,5,nuts,2,Alt3,moment_Mean,,,,,,5.667040758258405,1.2649260666766111
kt1_s08,1comp,1,8,5,nuts,2,Alt3,moment_Var,,,,,,96.85597478451726,1.0251418594971409
kt1_s08,1comp,1,8,5,nuts,2,Price,moment_Mean,,,,,,7.703159151228649,1.178442723698629
kt1_s08,1comp,1,8,5,nuts,2,Price,moment_Var,,,,,,13.575511679921693,1.097444028444616
kt1_s09,1comp,1,9,5,nuts,2,Alt1,density,22.0,459.37410154003777,661.0698137437452,1.0041504752311672,1.001841555386496,,
kt1_s09,1comp,1,9,5,nuts,2,Alt2,density,23.0,364.1505022775872,506.7413650403863,1.0058283159042476,1.004146576130465,,
kt1_s09,1comp,1,9,5,nuts,2,Alt3,density,22.0,397.226229775648,549.5390663401214,1.002717099035317,1.0016426174999302,,
kt1_s09,1comp,1,9,5,nuts,2,Price,density,26.0,1158.734545614435,2918.379955533664,1.0028112754377034,1.0015613903767588,,
kt1_s09,1comp,1,9,5,nuts,2,Alt1,moment_Mean,,,,,,2434.805217254805,1.0008319474979936
kt1_s09,1comp,1,9,5,nuts,2,Alt1,moment_Var,,,,,,2470.418143110668,1.0018291714548135
kt1_s09,1comp,1,9,5,nuts,2,Alt2,moment_Mean,,,,,,1797.0192663794685,1.0021315271295128
kt1_s09,1comp,1,9,5,nuts,2,Alt2,moment_Var,,,,,,3063.6896412396327,1.0005595449940987
kt1_s09,1comp,1,9,5,nuts,2,Alt3,moment_Mean,,,,,,1394.2315136546042,1.001515259135372
kt1_s09,1comp,1,9,5,nuts,2,Alt3,moment_Var,,,,,,3897.070186055572,1.0008328516020597
kt1_s09,1comp,1,9,5,nuts,2,Price,moment_Mean,,,,,,5356.165585846156,1.001326868948354
kt1_s09,1comp,1,9,5,nuts,2,Price,moment_Var,,,,,,2256.612944783678,1.0025936560872146
kt1_s100,1comp,1,100,5,nuts,2,Alt1,density,23.0,451.0403539571031,901.6256363278304,1.0100557341640666,1.004233545762981,,
kt1_s100,1comp,1,100,5,nuts,2,Alt2,density,23.0,113.82148159874492,305.9936008647981,1.0228084594147615,1.012374061525726,,
kt1_s100,1comp,1,100,5,nuts,2,Alt3,density,23.0,481.7689459315332,667.6736702086043,1.0215113952674433,1.0066379355951256,,
kt1_s100,1comp,1,100,5,nuts,2,Price,density,23.0,368.8926051207012,496.2030516309219,1.0155050495062956,1.0060211276400342,,
kt1_s100,1comp,1,100,5,nuts,2,Alt1,moment_Mean,,,,,,1331.7210797789892,1.0062112107785683
kt1_s100,1comp,1,100,5,nuts,2,Alt1,moment_Var,,,,,,777.2168866823769,1.004197562505597
