dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,matched_true,live,param,post_mean,post_std,ci_low,ci_high,true_value,abs_diff,in_ci
kt1_s04,1comp,1,4,5,nuts,1,0,0.0,True,Price,-1.905021905899048,0.0783873423933982,-2.0584094762802123,-1.7591424733400345,-1.94012267912262,0.0351007732235717,True
kt1_s04,1comp,1,4,5,nuts,1,1,,False,Alt1,-28.92267417907715,18.3033390045166,-76.77079906463622,-6.590105724334719,,,
kt1_s04,1comp,1,4,5,nuts,1,1,,False,Alt2,12.135382652282717,8.542974472045898,0.8362728759646416,33.35201244354246,,,
kt1_s04,1comp,1,4,5,nuts,1,1,,False,Alt3,-12.101765632629396,8.263105392456055,-32.9133150100708,-1.1120831698179248,,,
kt1_s04,1comp,1,4,5,nuts,1,1,,False,Price,25.23932266235352,15.352051734924316,6.664855444431305,64.499063873291,,,
kt1_s04,1comp,1,4,5,nuts,1,2,,False,Alt1,1.1845412254333496,57.50981521606445,-109.06344490051268,105.03638362884516,,,
kt1_s04,1comp,1,4,5,nuts,1,2,,False,Alt2,0.5449922680854797,42.62226104736328,-77.03607215881347,81.74793815612792,,,
kt1_s04,1comp,1,4,5,nuts,1,2,,False,Alt3,0.3407974541187286,35.35007095336914,-62.44319715499878,64.32294025421142,,,
kt1_s04,1comp,1,4,5,nuts,1,2,,False,Price,-0.168748527765274,27.897750854492188,-47.44152412414551,47.291859436035125,,,
kt1_s04,1comp,1,4,5,nuts,1,3,,False,Alt1,0.924613893032074,72.5655288696289,-105.94775447845458,105.54943237304674,,,
