param,sampler,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,0.7253,0.8975,1.2911,1.0027,1.3238,5.0203,100.0
Alt1,Replication,0.7215,0.8929,1.2341,1.0049,1.2894,4.3976,100.0
Alt1,NUTS,0.7521,0.949,2.2655,1.091,1.6042,18.8582,100.0
Alt1,HMC,0.7435,0.988,1.6325,1.1214,1.5192,10.1983,100.0
Alt2,bayesm,0.6431,0.8914,1.1809,1.002,1.2084,3.7102,100.0
Alt2,Replication,0.6732,0.8963,1.1195,0.9883,1.2144,2.6548,100.0
Alt2,NUTS,0.6392,0.9472,1.5094,1.0784,1.4715,8.1287,100.0
Alt2,HMC,0.7053,0.9335,1.3164,1.0546,1.4013,5.4403,100.0
Alt3,bayesm,0.7381,0.9172,1.2,1.0588,1.274,3.7714,100.0
Alt3,Replication,0.7287,0.9099,1.2357,1.044,1.2525,5.6371,100.0
Alt3,NUTS,0.7621,0.9489,1.4853,1.1036,1.3843,6.2791,100.0
Alt3,HMC,0.742,0.9434,1.3931,1.0892,1.3154,5.9039,100.0
Price,bayesm,0.5462,0.658,0.7784,0.7472,0.8395,1.4669,100.0
Price,Replication,0.5442,0.6625,0.7692,0.7559,0.8192,1.4822,100.0
Price,NUTS,0.5393,0.677,0.8138,0.7621,0.9133,1.501,100.0
Price,HMC,0.5381,0.6756,0.8049,0.7669,0.8885,1.517,100.0
