element,bias_bayesm,bias_NUTS,bias_HMC,mcse_bayesm,mcse_NUTS,mcse_HMC,n_sim_bayesm,n_sim_NUTS,n_sim_HMC
"Δ₁,₁ (z1:Alt1)",0.0215,0.0246,0.0271,0.012,0.0121,0.0129,100.0,100.0,100.0
"Δ₁,₂ (z1:Alt2)",0.006,0.0065,0.0123,0.0131,0.0132,0.0128,100.0,100.0,100.0
"Δ₁,₃ (z1:Alt3)",0.0194,0.015,0.0159,0.0128,0.0125,0.0125,100.0,100.0,100.0
"Δ₁,₄ (z1:Price)",0.0034,0.0053,0.0059,0.0092,0.0093,0.0096,100.0,100.0,100.0
"Δ₂,₁ (z2:Alt1)",-0.0058,-0.0015,-0.0054,0.0123,0.0136,0.0127,100.0,100.0,100.0
"Δ₂,₂ (z2:Alt2)",0.0063,0.0055,0.0074,0.0114,0.0122,0.0117,100.0,100.0,100.0
"Δ₂,₃ (z2:Alt3)",0.0028,0.0075,0.0053,0.017,0.0194,0.0172,100.0,100.0,100.0
"Δ₂,₄ (z2:Price)",0.0067,0.007,0.0106,0.0081,0.0084,0.0084,100.0,100.0,100.0
