element,bias_bayesm,bias_NUTS,bias_HMC,mcse_bayesm,mcse_NUTS,mcse_HMC,n_sim_bayesm,n_sim_NUTS,n_sim_HMC
"Δ₁,₁ (z1:Alt1)",-0.0185,-0.0147,-0.0172,0.0124,0.0129,0.0131,100.0,100.0,100.0
"Δ₁,₂ (z1:Alt2)",-0.0241,-0.0242,-0.0219,0.0127,0.013,0.0127,100.0,100.0,100.0
"Δ₁,₃ (z1:Alt3)",-0.0171,-0.0212,-0.0153,0.0123,0.013,0.0129,100.0,100.0,100.0
"Δ₁,₄ (z1:Price)",0.0078,0.0098,0.0096,0.0088,0.0091,0.0096,100.0,100.0,100.0
"Δ₂,₁ (z2:Alt1)",0.01,0.0094,0.011,0.013,0.0137,0.0138,100.0,100.0,100.0
"Δ₂,₂ (z2:Alt2)",0.0169,0.0141,0.0139,0.0127,0.013,0.0133,100.0,100.0,100.0
"Δ₂,₃ (z2:Alt3)",0.0097,0.0069,0.007,0.0135,0.0141,0.0136,100.0,100.0,100.0
"Δ₂,₄ (z2:Price)",0.0163,0.0181,0.0184,0.0097,0.0102,0.0104,100.0,100.0,100.0
