comparison,metric,k_true,n_pairs,n_win,n_loss,n_tie,win_rate,median_diff,p_value
nuts_vs_bayesm,Wasserstein1,2,400,128,272,0,0.32,0.018565,4.889163968957266e-13
nuts_vs_bayesm,Wasserstein1,3,400,74,326,0,0.185,0.060725,7.979423658739216e-39
nuts_vs_bayesm,Wasserstein1,5,400,48,352,0,0.12,0.094945,3.026471453666863e-58
nuts_vs_bayesm,Wasserstein1,all,1600,429,1171,0,0.2681,0.033625,1.550809687601357e-79
hmc_vs_bayesm,Wasserstein1,1,400,200,200,0,0.5,-1.5e-05,1.0
hmc_vs_bayesm,Wasserstein1,2,400,112,288,0,0.28,0.02842,5.671435779874289e-19
hmc_vs_bayesm,Wasserstein1,3,400,75,325,0,0.1875,0.0616,3.485176528056456e-38
hmc_vs_bayesm,Wasserstein1,5,400,58,342,0,0.145,0.093375,4.265224148715052e-50
hmc_vs_bayesm,Wasserstein1,all,1600,445,1155,0,0.2781,0.03479,1.0013477657309011e-72
nuts_vs_hmc,Wasserstein1,1,400,181,218,1,0.4536,0.00109,0.07137220456586194
nuts_vs_hmc,Wasserstein1,2,400,215,184,1,0.5388,-0.00704,0.13302680380804788
nuts_vs_hmc,Wasserstein1,3,400,203,197,0,0.5075,-0.001215,0.8026252540927463
nuts_vs_hmc,Wasserstein1,5,400,190,210,0,0.475,0.005095,0.34212239608405065
nuts_vs_hmc,Wasserstein1,all,1600,789,809,2,0.4937,0.000475,0.6345888774727314
