k_true,series,param,sampler,min_ess,q25_ess,median_ess,q75_ess,frac_ess_ge_400,n_sim
3,density,Alt2,nuts,2.879,6.564,22.28,124.218,0.12,100
3,density,Alt2,hmc,2.627,4.791,11.001,51.546,0.04,100
3,density,Alt3,bayesm,2.984,16.034,42.094,145.411,0.05,100
3,density,Alt3,nuts,2.866,7.96,28.132,115.005,0.14,100
3,density,Alt3,hmc,2.626,3.855,9.931,44.502,0.03,100
3,density,Price,bayesm,3.968,14.702,67.214,170.954,0.03,100
3,density,Price,nuts,2.731,5.171,24.36,88.564,0.13,100
3,density,Price,hmc,2.632,3.773,9.297,50.902,0.0,100
3,Mean,Alt1,bayesm,3.62,23.924,70.249,238.868,0.17,100
3,Mean,Alt1,nuts,2.82,8.933,33.877,246.389,0.15,100
3,Mean,Alt1,hmc,2.625,8.247,26.115,177.277,0.14,100
3,Mean,Alt2,bayesm,3.253,25.548,74.217,249.208,0.15,100
3,Mean,Alt2,nuts,2.683,9.993,50.233,271.036,0.23,100
3,Mean,Alt2,hmc,3.089,11.53,36.375,152.698,0.1,100
3,Mean,Alt3,bayesm,2.668,19.025,66.047,181.222,0.1,100
3,Mean,Alt3,nuts,3.594,13.094,66.38,192.22,0.18,100
3,Mean,Alt3,hmc,2.651,8.866,41.267,168.791,0.06,100
3,Mean,Price,bayesm,7.279,50.343,215.737,620.28,0.35,100
3,Mean,Price,nuts,3.011,14.367,86.953,657.92,0.32,100
3,Mean,Price,hmc,2.964,9.517,60.66,247.412,0.2,100
3,Var,Alt1,bayesm,3.033,11.282,52.457,177.547,0.07,100
3,Var,Alt1,nuts,2.822,8.361,40.874,244.612,0.18,100
3,Var,Alt1,hmc,2.988,9.716,45.819,147.123,0.07,100
3,Var,Alt2,bayesm,2.885,23.054,64.357,193.002,0.11,100
3,Var,Alt2,nuts,2.964,19.575,65.287,388.98,0.24,100
3,Var,Alt2,hmc,3.15,9.755,41.796,140.865,0.05,100
3,Var,Alt3,bayesm,2.855,14.915,43.574,190.586,0.09,100
3,Var,Alt3,nuts,3.225,19.759,66.176,226.104,0.16,100
3,Var,Alt3,hmc,2.67,8.919,40.62,135.415,0.12,100
3,Var,Price,bayesm,5.56,26.302,92.787,266.042,0.14,100
3,Var,Price,nuts,3.7,23.047,129.645,439.937,0.26,100
3,Var,Price,hmc,2.941,12.85,42.966,158.423,0.1,100
5,density,Alt1,bayesm,2.841,8.304,34.897,132.165,0.05,100
5,density,Alt1,nuts,2.765,3.754,9.282,99.619,0.16,100
5,density,Alt1,hmc,2.614,3.381,9.283,31.118,0.02,100
5,density,Alt2,bayesm,2.896,10.431,49.917,153.721,0.05,100
5,density,Alt2,nuts,2.685,3.98,9.142,80.045,0.12,100
5,density,Alt2,hmc,2.71,3.315,6.675,27.77,0.05,100
5,density,Alt3,bayesm,2.974,9.33,44.046,164.857,0.07,100
5,density,Alt3,nuts,2.627,3.663,9.923,33.699,0.11,100
5,density,Alt3,hmc,2.641,3.162,5.348,20.656,0.02,100
5,density,Price,bayesm,3.019,15.997,90.086,198.937,0.04,100
5,density,Price,nuts,2.847,3.844,12.191,64.652,0.13,100
5,density,Price,hmc,2.578,3.216,5.988,18.557,0.04,100
5,Mean,Alt1,bayesm,3.16,23.784,224.026,870.613,0.4,100
5,Mean,Alt1,nuts,2.561,7.663,28.143,176.903,0.14,100
