element,sampler,min,q1,mean,median,q3,max,n_sim
"Δ₁,₁ (z1:Alt1)",bayesm,0.0695,0.0963,0.1133,0.1084,0.1246,0.1885,100.0
"Δ₁,₁ (z1:Alt1)",NUTS,0.0716,0.0989,0.1178,0.1112,0.1307,0.2242,100.0
"Δ₁,₁ (z1:Alt1)",HMC,0.0697,0.0994,0.1219,0.1142,0.1304,0.2694,100.0
"Δ₁,₂ (z1:Alt2)",bayesm,0.0722,0.0981,0.1194,0.1096,0.1276,0.3767,100.0
"Δ₁,₂ (z1:Alt2)",NUTS,0.0736,0.1016,0.124,0.1134,0.1295,0.4112,100.0
"Δ₁,₂ (z1:Alt2)",HMC,0.0744,0.1026,0.1256,0.1152,0.134,0.3646,100.0
"Δ₁,₃ (z1:Alt3)",bayesm,0.0576,0.095,0.1238,0.1091,0.1299,0.6002,100.0
"Δ₁,₃ (z1:Alt3)",NUTS,0.0698,0.0958,0.1274,0.1122,0.1345,0.7281,100.0
"Δ₁,₃ (z1:Alt3)",HMC,0.0578,0.0969,0.1287,0.1115,0.1358,0.539,100.0
"Δ₁,₄ (z1:Price)",bayesm,0.0538,0.0767,0.0887,0.086,0.0984,0.1515,100.0
"Δ₁,₄ (z1:Price)",NUTS,0.0537,0.0792,0.0905,0.0866,0.1,0.1534,100.0
"Δ₁,₄ (z1:Price)",HMC,0.0543,0.0783,0.0992,0.0868,0.1006,0.5009,100.0
"Δ₂,₁ (z2:Alt1)",bayesm,0.0716,0.097,0.1145,0.1093,0.1296,0.1956,100.0
"Δ₂,₁ (z2:Alt1)",NUTS,0.073,0.1006,0.1213,0.1127,0.1345,0.3329,100.0
"Δ₂,₁ (z2:Alt1)",HMC,0.0724,0.0999,0.1221,0.1151,0.1388,0.2392,100.0
"Δ₂,₂ (z2:Alt2)",bayesm,0.068,0.0998,0.1196,0.1113,0.1278,0.3639,100.0
"Δ₂,₂ (z2:Alt2)",NUTS,0.0686,0.1028,0.1257,0.1148,0.1369,0.4113,100.0
"Δ₂,₂ (z2:Alt2)",HMC,0.0671,0.1018,0.1246,0.1153,0.1312,0.3485,100.0
"Δ₂,₃ (z2:Alt3)",bayesm,0.0596,0.0951,0.1244,0.1077,0.1287,0.6484,100.0
"Δ₂,₃ (z2:Alt3)",NUTS,0.0708,0.0969,0.1272,0.1079,0.1301,0.6539,100.0
"Δ₂,₃ (z2:Alt3)",HMC,0.0604,0.0963,0.1272,0.1082,0.1384,0.4947,100.0
"Δ₂,₄ (z2:Price)",bayesm,0.051,0.0772,0.0885,0.0874,0.0988,0.1566,100.0
"Δ₂,₄ (z2:Price)",NUTS,0.0511,0.0787,0.0908,0.089,0.099,0.1555,100.0
"Δ₂,₄ (z2:Price)",HMC,0.0522,0.0784,0.0981,0.0892,0.1007,0.4425,100.0
