element,sampler,min,q1,mean,median,q3,max,n_sim
"Δ₁,₁ (z1:Alt1)",bayesm,0.054,0.0956,0.1446,0.1101,0.1438,0.9101,100.0
"Δ₁,₁ (z1:Alt1)",NUTS,0.0529,0.0952,0.1462,0.1124,0.1438,0.818,100.0
"Δ₁,₁ (z1:Alt1)",HMC,0.054,0.0955,0.1478,0.1135,0.1413,1.1699,100.0
"Δ₁,₂ (z1:Alt2)",bayesm,0.0623,0.0963,0.1409,0.1149,0.1519,0.7273,100.0
"Δ₁,₂ (z1:Alt2)",NUTS,0.063,0.0991,0.1438,0.115,0.1582,0.6978,100.0
"Δ₁,₂ (z1:Alt2)",HMC,0.0635,0.0999,0.1404,0.1134,0.1525,0.5458,100.0
"Δ₁,₃ (z1:Alt3)",bayesm,0.0598,0.0954,0.1535,0.1119,0.1399,1.0971,100.0
"Δ₁,₃ (z1:Alt3)",NUTS,0.0608,0.0975,0.1614,0.114,0.1418,1.4673,100.0
"Δ₁,₃ (z1:Alt3)",HMC,0.0604,0.0972,0.1556,0.1135,0.1452,1.2229,100.0
"Δ₁,₄ (z1:Price)",bayesm,0.0495,0.0758,0.0991,0.0934,0.117,0.1977,100.0
"Δ₁,₄ (z1:Price)",NUTS,0.0498,0.0759,0.0997,0.0937,0.1176,0.1971,100.0
"Δ₁,₄ (z1:Price)",HMC,0.0497,0.0761,0.099,0.0932,0.1188,0.191,100.0
"Δ₂,₁ (z2:Alt1)",bayesm,0.0531,0.0916,0.1414,0.1147,0.1434,0.7135,100.0
"Δ₂,₁ (z2:Alt1)",NUTS,0.0534,0.0928,0.1462,0.1166,0.1471,0.9107,100.0
"Δ₂,₁ (z2:Alt1)",HMC,0.0539,0.0934,0.1526,0.1167,0.145,1.4191,100.0
"Δ₂,₂ (z2:Alt2)",bayesm,0.0606,0.0956,0.1399,0.1145,0.1504,0.6024,100.0
"Δ₂,₂ (z2:Alt2)",NUTS,0.0618,0.0988,0.1431,0.1165,0.1554,0.5963,100.0
"Δ₂,₂ (z2:Alt2)",HMC,0.0612,0.096,0.1426,0.1154,0.1531,0.7323,100.0
"Δ₂,₃ (z2:Alt3)",bayesm,0.0609,0.0955,0.1529,0.1106,0.1433,0.9467,100.0
"Δ₂,₃ (z2:Alt3)",NUTS,0.0618,0.095,0.155,0.1129,0.145,1.086,100.0
"Δ₂,₃ (z2:Alt3)",HMC,0.0606,0.0943,0.1511,0.1098,0.1442,0.7398,100.0
"Δ₂,₄ (z2:Price)",bayesm,0.0492,0.0765,0.098,0.0911,0.1168,0.2011,100.0
"Δ₂,₄ (z2:Price)",NUTS,0.049,0.0765,0.0985,0.0909,0.1178,0.2067,100.0
"Δ₂,₄ (z2:Price)",HMC,0.049,0.0762,0.0978,0.0915,0.1144,0.1984,100.0
