k_true,element,sampler,min,q1,mean,median,q3,max,n_sim
2,"Δ₁,₃ (z1:Alt3)",bayesm,0.0576,0.095,0.1238,0.1091,0.1299,0.6002,100.0
2,"Δ₁,₃ (z1:Alt3)",NUTS,0.0698,0.0958,0.1274,0.1122,0.1345,0.7281,100.0
2,"Δ₁,₃ (z1:Alt3)",HMC,0.0578,0.0969,0.1287,0.1115,0.1358,0.539,100.0
2,"Δ₁,₄ (z1:Price)",bayesm,0.0538,0.0767,0.0887,0.086,0.0984,0.1515,100.0
2,"Δ₁,₄ (z1:Price)",NUTS,0.0537,0.0792,0.0905,0.0866,0.1,0.1534,100.0
2,"Δ₁,₄ (z1:Price)",HMC,0.0543,0.0783,0.0992,0.0868,0.1006,0.5009,100.0
2,"Δ₂,₁ (z2:Alt1)",bayesm,0.0716,0.097,0.1145,0.1093,0.1296,0.1956,100.0
2,"Δ₂,₁ (z2:Alt1)",NUTS,0.073,0.1006,0.1213,0.1127,0.1345,0.3329,100.0
2,"Δ₂,₁ (z2:Alt1)",HMC,0.0724,0.0999,0.1221,0.1151,0.1388,0.2392,100.0
2,"Δ₂,₂ (z2:Alt2)",bayesm,0.068,0.0998,0.1196,0.1113,0.1278,0.3639,100.0
2,"Δ₂,₂ (z2:Alt2)",NUTS,0.0686,0.1028,0.1257,0.1148,0.1369,0.4113,100.0
2,"Δ₂,₂ (z2:Alt2)",HMC,0.0671,0.1018,0.1246,0.1153,0.1312,0.3485,100.0
2,"Δ₂,₃ (z2:Alt3)",bayesm,0.0596,0.0951,0.1244,0.1077,0.1287,0.6484,100.0
2,"Δ₂,₃ (z2:Alt3)",NUTS,0.0708,0.0969,0.1272,0.1079,0.1301,0.6539,100.0
2,"Δ₂,₃ (z2:Alt3)",HMC,0.0604,0.0963,0.1272,0.1082,0.1384,0.4947,100.0
2,"Δ₂,₄ (z2:Price)",bayesm,0.051,0.0772,0.0885,0.0874,0.0988,0.1566,100.0
2,"Δ₂,₄ (z2:Price)",NUTS,0.0511,0.0787,0.0908,0.089,0.099,0.1555,100.0
2,"Δ₂,₄ (z2:Price)",HMC,0.0522,0.0784,0.0981,0.0892,0.1007,0.4425,100.0
3,"Δ₁,₁ (z1:Alt1)",bayesm,0.0773,0.1,0.1143,0.1094,0.1263,0.2411,100.0
3,"Δ₁,₁ (z1:Alt1)",NUTS,0.0783,0.1034,0.1211,0.1149,0.1332,0.2577,100.0
3,"Δ₁,₁ (z1:Alt1)",HMC,0.0777,0.105,0.1247,0.1183,0.1356,0.2655,100.0
3,"Δ₁,₂ (z1:Alt2)",bayesm,0.0772,0.1037,0.117,0.1121,0.1222,0.2283,100.0
3,"Δ₁,₂ (z1:Alt2)",NUTS,0.0798,0.1078,0.1225,0.1173,0.1311,0.2509,100.0
3,"Δ₁,₂ (z1:Alt2)",HMC,0.0801,0.109,0.1248,0.1182,0.1345,0.2451,100.0
3,"Δ₁,₃ (z1:Alt3)",bayesm,0.0728,0.1006,0.1173,0.1093,0.1289,0.2599,100.0
3,"Δ₁,₃ (z1:Alt3)",NUTS,0.0745,0.103,0.123,0.1132,0.1325,0.2782,100.0
3,"Δ₁,₃ (z1:Alt3)",HMC,0.0766,0.1028,0.1244,0.1146,0.1402,0.2663,100.0
3,"Δ₁,₄ (z1:Price)",bayesm,0.065,0.08,0.0891,0.0867,0.0973,0.1271,100.0
3,"Δ₁,₄ (z1:Price)",NUTS,0.0639,0.0818,0.0921,0.0894,0.0997,0.1402,100.0
3,"Δ₁,₄ (z1:Price)",HMC,0.0638,0.0826,0.094,0.0901,0.1034,0.1647,100.0
3,"Δ₂,₁ (z2:Alt1)",bayesm,0.0778,0.1008,0.1142,0.1095,0.1238,0.2466,100.0
3,"Δ₂,₁ (z2:Alt1)",NUTS,0.0802,0.1055,0.1216,0.1162,0.1318,0.2617,100.0
3,"Δ₂,₁ (z2:Alt1)",HMC,0.084,0.1042,0.1238,0.1186,0.1332,0.2387,100.0
3,"Δ₂,₂ (z2:Alt2)",bayesm,0.0749,0.101,0.1166,0.1117,0.1274,0.1838,100.0
3,"Δ₂,₂ (z2:Alt2)",NUTS,0.0758,0.1049,0.1221,0.1172,0.1334,0.2071,100.0
3,"Δ₂,₂ (z2:Alt2)",HMC,0.0758,0.1064,0.1242,0.118,0.1354,0.2218,100.0
3,"Δ₂,₃ (z2:Alt3)",bayesm,0.0706,0.0971,0.1159,0.1085,0.1252,0.2334,100.0
3,"Δ₂,₃ (z2:Alt3)",NUTS,0.072,0.1,0.1213,0.111,0.1287,0.2684,100.0
3,"Δ₂,₃ (z2:Alt3)",HMC,0.0768,0.1004,0.123,0.1143,0.1302,0.2814,100.0
3,"Δ₂,₄ (z2:Price)",bayesm,0.0609,0.0787,0.0885,0.0872,0.098,0.1289,100.0
3,"Δ₂,₄ (z2:Price)",NUTS,0.0612,0.0817,0.0919,0.0903,0.1026,0.1356,100.0
3,"Δ₂,₄ (z2:Price)",HMC,0.0607,0.082,0.0934,0.0905,0.1039,0.1681,100.0
5,"Δ₁,₁ (z1:Alt1)",bayesm,0.085,0.104,0.1154,0.1148,0.1239,0.1637,100.0
5,"Δ₁,₁ (z1:Alt1)",NUTS,0.0903,0.1125,0.1256,0.1244,0.1392,0.1763,100.0
5,"Δ₁,₁ (z1:Alt1)",HMC,0.0921,0.1151,0.1276,0.1269,0.1392,0.1944,100.0
5,"Δ₁,₂ (z1:Alt2)",bayesm,0.0869,0.1064,0.1164,0.1149,0.1268,0.1585,100.0
5,"Δ₁,₂ (z1:Alt2)",NUTS,0.0917,0.1136,0.1259,0.1212,0.1372,0.2256,100.0
5,"Δ₁,₂ (z1:Alt2)",HMC,0.09,0.1128,0.1267,0.123,0.138,0.2116,100.0
5,"Δ₁,₃ (z1:Alt3)",bayesm,0.0813,0.1054,0.1176,0.1142,0.1255,0.1922,100.0
5,"Δ₁,₃ (z1:Alt3)",NUTS,0.0847,0.1102,0.1247,0.1204,0.1323,0.2156,100.0
5,"Δ₁,₃ (z1:Alt3)",HMC,0.0837,0.1127,0.1277,0.1226,0.1368,0.2263,100.0
5,"Δ₁,₄ (z1:Price)",bayesm,0.0685,0.0836,0.0911,0.0902,0.0969,0.1311,100.0
5,"Δ₁,₄ (z1:Price)",NUTS,0.0724,0.0857,0.0955,0.0941,0.1032,0.1502,100.0
5,"Δ₁,₄ (z1:Price)",HMC,0.0708,0.0868,0.0989,0.0947,0.1078,0.1436,100.0
5,"Δ₂,₁ (z2:Alt1)",bayesm,0.084,0.1063,0.1159,0.1157,0.1228,0.1952,100.0
5,"Δ₂,₁ (z2:Alt1)",NUTS,0.0868,0.1144,0.1264,0.1231,0.1374,0.1992,100.0
5,"Δ₂,₁ (z2:Alt1)",HMC,0.0866,0.113,0.1278,0.1241,0.1399,0.2003,100.0
5,"Δ₂,₂ (z2:Alt2)",bayesm,0.0821,0.1067,0.1154,0.114,0.1227,0.1537,100.0
5,"Δ₂,₂ (z2:Alt2)",NUTS,0.0852,0.1127,0.1247,0.1206,0.133,0.2235,100.0
5,"Δ₂,₂ (z2:Alt2)",HMC,0.088,0.1129,0.1253,0.1199,0.1338,0.2073,100.0
5,"Δ₂,₃ (z2:Alt3)",bayesm,0.086,0.1046,0.1169,0.1122,0.1252,0.1823,100.0
5,"Δ₂,₃ (z2:Alt3)",NUTS,0.0864,0.1081,0.1234,0.1166,0.135,0.1922,100.0
5,"Δ₂,₃ (z2:Alt3)",HMC,0.0858,0.1084,0.1257,0.1194,0.1339,0.207,100.0
5,"Δ₂,₄ (z2:Price)",bayesm,0.0677,0.0827,0.0904,0.0888,0.0978,0.1251,100.0
5,"Δ₂,₄ (z2:Price)",NUTS,0.0687,0.0851,0.0943,0.0939,0.1033,0.1306,100.0
5,"Δ₂,₄ (z2:Price)",HMC,0.0707,0.0867,0.0974,0.094,0.1054,0.1513,100.0
