element,bias_bayesm,bias_Replication,bias_NUTS,bias_HMC,mcse_bayesm,mcse_Replication,mcse_NUTS,mcse_HMC,n_sim_bayesm,n_sim_Replication,n_sim_NUTS,n_sim_HMC
"Δ₁,₁ (z1:Alt1)",0.0215,0.0228,0.0228,0.0237,0.012,0.012,0.0123,0.0125,100.0,100.0,100.0,100.0
"Δ₁,₂ (z1:Alt2)",0.006,0.0078,0.0053,0.0079,0.0131,0.0126,0.0133,0.013,100.0,100.0,100.0,100.0
"Δ₁,₃ (z1:Alt3)",0.0194,0.0154,0.0138,0.0146,0.0128,0.0123,0.0128,0.0127,100.0,100.0,100.0,100.0
"Δ₁,₄ (z1:Price)",0.0034,0.0026,0.0048,0.0047,0.0092,0.0091,0.0093,0.0093,100.0,100.0,100.0,100.0
"Δ₂,₁ (z2:Alt1)",-0.0058,-0.0055,-0.0052,-0.0055,0.0123,0.0122,0.0126,0.0129,100.0,100.0,100.0,100.0
"Δ₂,₂ (z2:Alt2)",0.0063,0.0058,0.0035,0.0081,0.0114,0.0116,0.012,0.0119,100.0,100.0,100.0,100.0
"Δ₂,₃ (z2:Alt3)",0.0028,0.0062,0.0077,0.0031,0.017,0.0183,0.0196,0.0176,100.0,100.0,100.0,100.0
"Δ₂,₄ (z2:Price)",0.0067,0.0057,0.0056,0.0072,0.0081,0.0082,0.0081,0.0081,100.0,100.0,100.0,100.0
