element,bias_bayesm,bias_Replication,bias_NUTS,bias_HMC,mcse_bayesm,mcse_Replication,mcse_NUTS,mcse_HMC,n_sim_bayesm,n_sim_Replication,n_sim_NUTS,n_sim_HMC
"Δ₁,₁ (z1:Alt1)",-0.0086,0.0029,-0.0091,-0.0087,0.0196,0.0198,0.0197,0.0192,100.0,100.0,100.0,100.0
"Δ₁,₂ (z1:Alt2)",0.0047,0.0095,0.0002,0.0067,0.0159,0.0186,0.0159,0.0156,100.0,100.0,100.0,100.0
"Δ₁,₃ (z1:Alt3)",-0.018,-0.0119,-0.0239,-0.0194,0.0214,0.0231,0.0227,0.0238,100.0,100.0,100.0,100.0
"Δ₁,₄ (z1:Price)",-0.0006,-0.0022,0.0,0.0001,0.0109,0.0107,0.0109,0.0111,100.0,100.0,100.0,100.0
"Δ₂,₁ (z2:Alt1)",0.0022,0.0042,0.0053,-0.0007,0.0199,0.0202,0.0196,0.0223,100.0,100.0,100.0,100.0
"Δ₂,₂ (z2:Alt2)",-0.0156,-0.012,-0.0131,-0.0149,0.0148,0.0152,0.0155,0.0149,100.0,100.0,100.0,100.0
"Δ₂,₃ (z2:Alt3)",0.0066,0.0074,0.0101,0.0041,0.0132,0.0135,0.0135,0.0143,100.0,100.0,100.0,100.0
"Δ₂,₄ (z2:Price)",-0.0001,-0.0,-0.0014,-0.0005,0.0098,0.0098,0.0101,0.01,100.0,100.0,100.0,100.0
