element,bias_bayesm,bias_Replication,bias_NUTS,bias_HMC,mcse_bayesm,mcse_Replication,mcse_NUTS,mcse_HMC,n_sim_bayesm,n_sim_Replication,n_sim_NUTS,n_sim_HMC
"Δ₁,₁ (z1:Alt1)",0.0212,0.0219,0.0235,0.0247,0.0124,0.0123,0.0127,0.0128,100.0,100.0,100.0,100.0
"Δ₁,₂ (z1:Alt2)",0.0132,0.0115,0.0126,0.0138,0.0122,0.0122,0.0125,0.0124,100.0,100.0,100.0,100.0
"Δ₁,₃ (z1:Alt3)",0.0028,0.0019,0.0024,0.0018,0.0122,0.0122,0.0126,0.0125,100.0,100.0,100.0,100.0
"Δ₁,₄ (z1:Price)",0.0052,0.0035,0.0041,0.0053,0.0093,0.0093,0.0097,0.0096,100.0,100.0,100.0,100.0
"Δ₂,₁ (z2:Alt1)",-0.0058,-0.0064,-0.0054,-0.0068,0.0116,0.0117,0.0118,0.0121,100.0,100.0,100.0,100.0
"Δ₂,₂ (z2:Alt2)",-0.0133,-0.0148,-0.018,-0.0155,0.0137,0.014,0.014,0.0135,100.0,100.0,100.0,100.0
"Δ₂,₃ (z2:Alt3)",-0.0079,-0.0074,-0.0091,-0.0085,0.0122,0.0124,0.0129,0.013,100.0,100.0,100.0,100.0
"Δ₂,₄ (z2:Price)",0.0132,0.0134,0.0131,0.0107,0.0096,0.0097,0.01,0.0101,100.0,100.0,100.0,100.0
