element,bias_bayesm,bias_Replication,bias_NUTS,bias_HMC,mcse_bayesm,mcse_Replication,mcse_NUTS,mcse_HMC,n_sim_bayesm,n_sim_Replication,n_sim_NUTS,n_sim_HMC
"Δ₁,₁ (z1:Alt1)",-0.0062,-0.0056,-0.005,-0.0068,0.0171,0.0175,0.0186,0.018,50.0,50.0,50.0,50.0
"Δ₁,₂ (z1:Alt2)",-0.0428,-0.0429,-0.0459,-0.0421,0.0175,0.0179,0.0175,0.0186,50.0,50.0,50.0,50.0
"Δ₁,₃ (z1:Alt3)",-0.0188,-0.0207,-0.0231,-0.0233,0.0148,0.0149,0.0146,0.0151,50.0,50.0,50.0,50.0
"Δ₁,₄ (z1:Price)",0.0087,0.0084,0.0111,0.0093,0.0124,0.0125,0.0127,0.0133,50.0,50.0,50.0,50.0
"Δ₂,₁ (z2:Alt1)",-0.002,-0.0026,-0.0004,-0.0062,0.0201,0.0203,0.0208,0.0209,50.0,50.0,50.0,50.0
"Δ₂,₂ (z2:Alt2)",0.0229,0.0185,0.0177,0.0184,0.0196,0.0195,0.0208,0.0209,50.0,50.0,50.0,50.0
"Δ₂,₃ (z2:Alt3)",-0.0075,-0.007,-0.0125,-0.0156,0.0169,0.0172,0.0171,0.0173,50.0,50.0,50.0,50.0
"Δ₂,₄ (z2:Price)",0.0027,0.0057,0.0016,0.0037,0.0132,0.0132,0.0138,0.0138,50.0,50.0,50.0,50.0
