param,sampler,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,0.4497,0.8447,0.8871,0.9212,0.9636,0.9932,100.0
Alt1,NUTS,0.4964,0.8149,0.8679,0.9087,0.9593,0.9929,100.0
Alt1,HMC,0.1166,0.8458,0.8798,0.9186,0.9615,0.992,100.0
Alt2,bayesm,0.3643,0.8268,0.8682,0.9082,0.9478,0.9906,100.0
Alt2,NUTS,-0.1482,0.8366,0.862,0.9029,0.9495,0.9904,100.0
Alt2,HMC,0.4294,0.835,0.8723,0.9161,0.9517,0.9903,100.0
Alt3,bayesm,0.4205,0.8112,0.8668,0.9017,0.9516,0.9916,100.0
Alt3,NUTS,-0.4684,0.7926,0.8536,0.893,0.9543,0.9918,100.0
Alt3,HMC,0.5002,0.8306,0.8792,0.9094,0.9579,0.9913,100.0
Price,bayesm,0.6754,0.9355,0.9432,0.9611,0.9768,0.9953,100.0
Price,NUTS,0.4622,0.9344,0.9431,0.9649,0.9789,0.9953,100.0
Price,HMC,0.6342,0.9332,0.9428,0.9659,0.9812,0.9934,100.0
