param,sampler,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,0.5573,0.9064,0.9269,0.9492,0.973,0.9913,100.0
Alt1,NUTS,0.5004,0.8813,0.9035,0.9419,0.9684,0.9878,100.0
Alt1,HMC,0.41,0.8937,0.9225,0.9496,0.9692,0.9913,100.0
Alt2,bayesm,0.5877,0.895,0.9171,0.9409,0.9656,0.9926,100.0
Alt2,NUTS,0.3868,0.8768,0.9031,0.9359,0.9586,0.9922,100.0
Alt2,HMC,0.5987,0.9082,0.9173,0.9443,0.9664,0.9865,100.0
Alt3,bayesm,0.3337,0.8978,0.9125,0.9405,0.9662,0.9889,100.0
Alt3,NUTS,0.5442,0.8813,0.912,0.944,0.9658,0.9899,100.0
Alt3,HMC,0.6836,0.896,0.9205,0.9488,0.969,0.9897,100.0
Price,bayesm,0.7791,0.9577,0.9633,0.9727,0.982,0.9938,100.0
Price,NUTS,0.5976,0.9557,0.959,0.9708,0.9806,0.9951,100.0
Price,HMC,0.6899,0.9577,0.9613,0.9705,0.981,0.9951,100.0
