dataset_key,scenario,k_true,data_seed,sampler,n_chains,k_model,warmup,posterior,r_total,burn_in,thin,seed,a_mu,a_delta,dirichlet_a,num_integration_steps
std_s57,standard,1,57,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s58,standard,1,58,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s59,standard,1,59,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s60,standard,1,60,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s61,standard,1,61,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s62,standard,1,62,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s63,standard,1,63,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s64,standard,1,64,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s65,standard,1,65,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s66,standard,1,66,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s67,standard,1,67,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s68,standard,1,68,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s69,standard,1,69,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s70,standard,1,70,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s71,standard,1,71,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s72,standard,1,72,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s73,standard,1,73,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s74,standard,1,74,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s75,standard,1,75,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s76,standard,1,76,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s77,standard,1,77,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s78,standard,1,78,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s79,standard,1,79,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s80,standard,1,80,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s81,standard,1,81,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s82,standard,1,82,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s83,standard,1,83,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s84,standard,1,84,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s85,standard,1,85,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s86,standard,1,86,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s87,standard,1,87,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s88,standard,1,88,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s89,standard,1,89,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s90,standard,1,90,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s91,standard,1,91,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s92,standard,1,92,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s93,standard,1,93,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s94,standard,1,94,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s95,standard,1,95,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s96,standard,1,96,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s97,standard,1,97,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s98,standard,1,98,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s99,standard,1,99,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
std_s100,standard,1,100,hmc,2,1,2000,10000,42000,2000,4,42,0.01,0.01,1,10
