param,sampler,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,0.7253,0.8975,1.2911,1.0027,1.3238,5.0203,100.0
Alt1,NUTS,0.7706,0.9686,2.0095,1.1249,1.6127,11.7951,100.0
Alt1,HMC,0.7397,0.9468,1.6773,1.1001,1.4867,16.2372,100.0
Alt2,bayesm,0.6431,0.8914,1.1809,1.002,1.2084,3.7102,100.0
Alt2,NUTS,0.7459,0.9277,1.4083,1.0748,1.4068,6.766,100.0
Alt2,HMC,0.6296,0.9155,1.2541,1.054,1.292,4.8179,100.0
Alt3,bayesm,0.7381,0.9172,1.2,1.0588,1.274,3.7714,100.0
Alt3,NUTS,0.7424,0.9539,1.4573,1.1237,1.3572,7.7868,100.0
Alt3,HMC,0.7364,0.9252,1.309,1.1147,1.4409,7.2696,100.0
Price,bayesm,0.5462,0.658,0.7784,0.7472,0.8395,1.4669,100.0
Price,NUTS,0.5515,0.6738,0.8331,0.78,0.9129,2.5409,100.0
Price,HMC,0.517,0.6787,0.8195,0.7874,0.9288,1.627,100.0
